,AVERAGE_SPEED_DIFF,AVERAGE_FREE_FLOW_SPEED,AVERAGE_TIME_DIFF,AVERAGE_FREE_FLOW_TIME,LUMINOSITY,AVERAGE_TEMPERATURE,AVERAGE_ATMOSP_PRESSURE,AVERAGE_HUMIDITY,AVERAGE_WIND_SPEED,AVERAGE_CLOUDINESS,HOUR,DAY,MONTH,YEAR
59,2,37.4,20.6,76.5,2,21.0,1016.0,72.0,2.0,6.0,13,25,6,2019
60,0,37.6,1.9,84.9,0,18.0,1019.0,67.0,2.0,1.0,20,1,10,2018
61,3,44.5,78.7,85.0,1,17.0,1017.0,67.0,0.0,4.0,17,25,10,2018
64,3,45.3,38.8,87.0,2,30.0,1013.0,43.0,3.0,1.0,18,2,8,2018
65,2,32.9,24.1,88.8,2,21.0,1013.0,88.0,4.0,4.0,10,3,7,2019
66,1,33.7,7.0,70.8,2,15.0,1016.0,67.0,4.0,3.0,13,18,5,2019
69,1,40.7,3.6,83.4,2,14.0,1012.0,55.0,3.0,2.0,9,31,3,2019
71,3,44.5,43.3,81.3,1,20.0,1021.0,82.0,5.0,1.0,18,21,9,2018
74,1,34.9,7.9,92.3,0,18.0,1016.0,93.0,2.0,6.0,23,6,7,2019
77,0,35.0,5.9,77.1,0,7.0,1020.0,93.0,2.0,4.0,21,15,1,2019
79,2,39.4,33.4,88.6,2,22.0,1017.0,69.0,2.0,1.0,11,1,8,2018
80,3,41.0,81.3,83.5,2,20.0,1020.0,77.0,1.0,4.0,18,29,9,2019
81,0,47.9,0.0,71.6,0,10.0,1019.0,81.0,6.0,5.0,22,28,11,2018
83,2,39.6,11.0,82.9,2,13.0,1011.0,93.0,9.0,6.0,11,6,11,2018
84,2,39.6,35.9,88.3,2,19.0,1020.0,68.0,7.0,1.0,18,29,8,2018
86,0,48.3,0.0,77.2,0,17.0,1009.0,82.0,4.0,4.0,3,21,9,2019
89,0,44.2,0.0,82.0,0,8.0,1012.0,100.0,1.0,5.0,6,12,11,2018
91,3,37.8,45.4,65.4,2,17.0,1016.0,82.0,1.0,3.0,9,17,6,2019
93,1,32.8,15.2,83.0,2,21.0,1016.0,93.0,3.0,4.0,13,15,7,2019
94,0,43.1,0.0,71.3,0,16.0,1018.0,93.0,1.0,4.0,3,3,6,2019
95,0,43.6,4.3,76.9,0,16.0,1017.0,93.0,1.0,1.0,22,13,8,2018
97,0,42.1,0.0,75.9,0,9.0,1022.0,54.0,6.0,1.0,1,11,12,2018
98,2,41.1,13.9,75.1,2,12.0,1004.0,87.0,3.0,2.0,7,22,4,2019
99,0,37.2,2.4,68.3,0,8.0,1032.0,100.0,0.0,4.0,2,9,12,2018
100,2,42.8,10.5,82.0,2,17.0,1014.0,82.0,2.0,3.0,13,26,10,2018
101,2,34.1,27.2,83.2,2,22.0,1015.0,73.0,4.0,6.0,11,4,7,2019
103,1,36.9,8.6,87.2,2,28.0,1016.0,65.0,2.0,1.0,14,5,8,2018
105,3,39.9,47.6,72.9,2,18.0,1018.0,68.0,4.0,6.0,18,22,5,2019
111,3,38.4,99.3,80.3,2,20.0,1015.0,46.0,3.0,6.0,16,19,4,2019
113,1,33.6,16.9,103.8,2,16.0,1022.0,82.0,7.0,4.0,14,3,3,2019
115,0,43.0,4.8,82.7,0,17.0,1019.0,88.0,2.0,1.0,22,21,10,2018
116,2,37.4,30.6,91.6,2,20.0,1016.0,77.0,2.0,1.0,11,6,9,2018
118,3,51.1,35.3,65.8,0,17.0,1014.0,100.0,0.0,6.0,23,23,6,2019
119,1,37.0,7.5,68.6,0,16.0,1014.0,100.0,3.0,4.0,22,14,4,2019
120,1,47.3,1.2,73.2,0,5.0,1024.0,93.0,2.0,1.0,3,21,1,2019
122,0,42.1,5.5,88.7,0,17.0,1015.0,77.0,7.0,5.0,5,12,10,2018
123,0,44.5,0.0,85.0,0,14.0,1022.0,100.0,0.0,1.0,2,23,9,2018
127,2,38.2,15.4,66.1,2,23.0,1019.0,73.0,3.0,6.0,13,1,7,2019
128,1,40.3,9.7,72.3,0,15.0,1019.0,82.0,5.0,6.0,21,10,6,2019
129,2,32.8,23.6,84.3,2,20.0,1017.0,48.0,2.0,6.0,13,30,3,2019
130,2,35.2,34.4,81.2,2,19.0,1017.0,88.0,4.0,4.0,12,19,6,2019
131,0,41.8,0.0,74.8,0,8.0,1015.0,87.0,2.0,2.0,3,3,4,2019
132,0,41.6,0.0,76.2,0,7.0,1020.0,93.0,4.0,4.0,23,15,1,2019
133,0,39.0,4.4,92.1,0,3.0,1029.0,100.0,1.0,1.0,6,11,2,2019
135,2,34.6,21.2,81.2,0,13.0,1019.0,87.0,1.0,2.0,19,12,4,2019
136,0,35.3,6.6,78.1,2,14.0,986.0,86.0,1.0,4.0,13,19,11,2018
137,0,35.0,3.4,87.4,0,18.0,1016.0,100.0,1.0,4.0,1,14,7,2019
140,0,41.8,2.1,82.1,0,15.0,1016.0,87.0,2.0,1.0,20,5,10,2018
141,3,40.8,66.4,82.2,2,20.0,1016.0,100.0,6.0,4.0,10,9,8,2019
142,0,40.6,0.0,87.6,0,18.0,1013.0,88.0,1.0,1.0,2,2,8,2018
143,0,36.3,2.3,94.0,2,11.0,1030.0,66.0,5.0,1.0,10,23,2,2019
145,4,46.1,90.9,75.8,0,13.0,1020.0,82.0,4.0,4.0,18,28,11,2018
146,1,32.2,15.1,87.1,2,19.0,1012.0,48.0,3.0,2.0,13,31,3,2019
149,1,34.6,8.7,75.9,2,19.0,1017.0,72.0,3.0,6.0,12,22,9,2019
150,1,44.4,7.3,75.5,0,18.0,1016.0,88.0,4.0,1.0,21,16,8,2018
151,2,35.3,15.0,94.0,2,10.0,1021.0,61.0,5.0,5.0,12,2,2,2019
153,0,40.9,0.0,89.3,0,15.0,1021.0,100.0,0.0,1.0,5,24,9,2018
154,2,35.7,19.2,82.9,2,15.0,1015.0,67.0,2.0,3.0,11,7,11,2018
157,2,37.5,43.4,90.9,2,27.0,1017.0,58.0,4.0,1.0,11,3,8,2018
158,2,37.4,23.0,89.3,2,27.0,1022.0,16.0,2.0,1.0,13,3,10,2018
160,0,44.9,0.0,84.6,0,15.0,1017.0,87.0,3.0,1.0,5,17,8,2018
161,2,35.3,22.1,80.8,2,16.0,1013.0,72.0,6.0,6.0,19,13,6,2019
163,2,39.3,23.7,87.3,2,14.0,1020.0,67.0,5.0,3.0,15,20,1,2019
166,1,42.7,11.0,87.9,2,21.0,1019.0,60.0,2.0,5.0,11,29,7,2018
167,1,43.7,6.0,86.9,0,22.0,1012.0,57.0,1.0,1.0,0,2,9,2018
168,3,42.1,43.9,89.1,2,29.0,1016.0,48.0,2.0,1.0,17,3,8,2018
169,1,41.3,7.4,86.4,0,21.0,1018.0,73.0,7.0,4.0,21,12,10,2018
172,2,38.5,55.0,88.4,2,22.0,1011.0,60.0,5.0,5.0,14,13,10,2018
173,1,40.4,11.2,87.4,2,22.0,1019.0,69.0,3.0,1.0,13,24,8,2018
174,1,40.7,7.3,81.1,0,17.0,1021.0,93.0,3.0,6.0,0,11,8,2019
177,1,47.8,3.8,66.1,0,11.0,1021.0,93.0,3.0,6.0,1,27,1,2019
181,3,42.8,98.1,85.7,2,21.0,1017.0,73.0,4.0,1.0,15,16,8,2018
182,2,49.3,2.3,72.9,0,13.0,1017.0,81.0,7.0,4.0,6,26,11,2018
183,3,41.4,47.8,76.2,2,14.0,1013.0,76.0,5.0,5.0,16,23,11,2018
186,2,46.4,16.2,80.4,2,18.0,1021.0,82.0,2.0,6.0,9,11,8,2019
188,2,37.9,20.7,86.8,2,22.0,1014.0,61.0,3.0,1.0,13,7,9,2018
189,2,40.0,21.8,88.8,0,26.0,1016.0,50.0,3.0,1.0,20,18,8,2018
190,3,41.6,61.5,90.7,0,18.0,1013.0,68.0,5.0,5.0,18,11,10,2018
191,1,39.3,4.6,83.2,2,28.0,1016.0,37.0,4.0,1.0,18,19,8,2018
195,0,44.0,0.8,85.5,0,16.0,1020.0,77.0,2.0,1.0,4,22,10,2018
198,0,42.1,0.0,76.4,0,6.0,1023.0,93.0,3.0,1.0,6,27,11,2018
199,4,44.9,228.5,84.6,2,9.0,1004.0,76.0,2.0,1.0,8,10,10,2018
200,2,34.0,9.6,61.8,2,12.0,1016.0,81.0,1.0,4.0,9,18,5,2019
203,1,45.8,32.2,84.7,0,19.0,1017.0,68.0,1.0,1.0,0,21,10,2018
204,0,44.2,0.0,86.2,0,18.0,1014.0,77.0,0.0,1.0,1,21,8,2018
205,0,38.9,0.0,92.4,0,11.0,1019.0,76.0,3.0,3.0,23,4,3,2019
208,0,33.1,3.7,73.5,0,13.0,1001.0,93.0,1.0,5.0,1,20,11,2018
209,1,37.6,19.0,92.5,2,22.0,1014.0,64.0,3.0,5.0,10,8,9,2018
210,3,31.9,106.5,76.3,2,14.0,1012.0,87.0,4.0,6.0,9,18,4,2019
211,0,41.5,0.0,76.1,0,14.0,1019.0,87.0,3.0,6.0,0,6,5,2019
212,4,42.8,132.0,81.1,2,19.0,1021.0,88.0,3.0,6.0,18,27,9,2019
214,1,37.6,21.8,92.5,2,18.0,1012.0,100.0,3.0,4.0,9,3,9,2018
215,4,47.2,67.4,78.3,2,8.0,1029.0,58.0,5.0,1.0,8,25,2,2019
216,0,42.5,0.0,85.9,0,11.0,1021.0,100.0,1.0,6.0,5,27,9,2019
217,0,38.1,6.6,75.3,0,9.0,1025.0,87.0,1.0,4.0,1,28,1,2019
222,0,38.9,1.0,70.4,0,11.0,1013.0,87.0,1.0,2.0,3,31,3,2019
223,0,47.0,0.0,71.4,0,6.0,1016.0,93.0,3.0,3.0,6,19,1,2019
226,4,38.4,140.7,82.9,2,22.0,1017.0,88.0,1.0,6.0,17,16,9,2019
227,3,34.1,128.9,92.7,2,19.0,1015.0,72.0,3.0,1.0,16,5,10,2018
228,3,35.4,165.0,93.0,2,18.0,1020.0,51.0,2.0,1.0,17,16,2,2019
229,0,45.9,2.0,86.5,2,19.0,1018.0,93.0,1.0,4.0,6,31,7,2018
230,2,42.8,25.7,75.6,2,15.0,1025.0,63.0,2.0,1.0,11,13,11,2018
231,0,43.9,6.1,81.1,0,13.0,1021.0,93.0,0.0,4.0,20,3,11,2018
232,3,32.4,47.2,84.0,2,18.0,1014.0,93.0,2.0,4.0,17,14,4,2019
233,2,37.7,29.3,89.0,2,22.0,1017.0,78.0,2.0,6.0,11,17,8,2019
234,0,47.2,0.0,78.9,0,13.0,1016.0,93.0,0.0,5.0,2,6,10,2018
235,0,38.4,0.0,83.9,2,24.0,1018.0,31.0,3.0,1.0,9,19,8,2018
236,0,47.5,0.0,86.1,0,15.0,1018.0,93.0,2.0,4.0,5,29,7,2018
237,2,34.4,36.5,78.5,2,14.0,1017.0,71.0,6.0,3.0,10,17,5,2019
238,3,36.2,69.6,87.2,2,23.0,1018.0,78.0,3.0,4.0,15,28,8,2019
240,2,39.6,36.0,87.8,2,20.0,1015.0,64.0,3.0,1.0,11,19,10,2018
242,2,40.1,21.9,84.1,0,12.0,1019.0,81.0,5.0,5.0,19,18,2,2019
244,0,38.5,2.5,91.5,0,13.0,1020.0,100.0,2.0,3.0,5,23,9,2019
245,0,44.5,1.2,87.0,0,19.0,1019.0,38.0,4.0,1.0,2,26,9,2018
247,0,41.8,0.0,75.2,0,11.0,1023.0,87.0,2.0,3.0,21,28,1,2019
248,2,37.2,31.6,82.7,2,21.0,1023.0,77.0,1.0,4.0,12,27,9,2019
250,2,34.4,36.0,78.2,2,22.0,1018.0,77.0,3.0,6.0,15,27,6,2019
251,1,32.9,7.6,69.3,2,16.0,1014.0,93.0,7.0,6.0,19,7,5,2019
253,0,42.8,0.0,85.9,0,17.0,1018.0,93.0,1.0,4.0,3,30,9,2019
256,0,32.9,9.0,88.2,0,9.0,1024.0,76.0,1.0,1.0,0,16,2,2019
257,0,45.1,3.1,84.5,0,20.0,1016.0,68.0,5.0,1.0,2,13,10,2018
259,1,41.6,17.4,96.4,2,21.0,1018.0,83.0,0.0,6.0,9,17,8,2019
260,0,46.5,1.4,86.5,0,13.0,1021.0,71.0,3.0,1.0,0,7,10,2018
261,0,39.9,0.0,80.3,0,8.0,1011.0,93.0,1.0,5.0,7,25,11,2018
262,2,50.1,11.2,78.5,0,11.0,1029.0,100.0,1.0,6.0,22,28,2,2019
266,3,36.8,70.2,78.8,2,17.0,1020.0,77.0,2.0,2.0,14,12,4,2019
267,2,46.2,3.7,83.8,1,7.0,1014.0,100.0,3.0,3.0,7,12,11,2018
268,0,41.6,0.0,76.0,0,11.0,1022.0,81.0,3.0,3.0,1,26,4,2019
269,0,41.4,0.0,62.0,0,19.0,1016.0,93.0,2.0,6.0,21,26,6,2019
270,1,47.0,5.0,80.8,0,8.0,1028.0,81.0,1.0,1.0,3,24,2,2019
274,1,41.2,1.6,86.1,0,12.0,1024.0,76.0,2.0,1.0,2,27,2,2019
275,1,44.3,12.4,95.3,1,14.0,1020.0,100.0,3.0,3.0,6,11,8,2019
277,0,40.1,0.0,90.7,0,16.0,1017.0,93.0,2.0,5.0,3,13,8,2018
278,3,35.0,70.6,82.6,2,18.0,1015.0,59.0,6.0,3.0,13,19,4,2019
279,1,38.6,2.4,71.7,1,15.0,1019.0,82.0,6.0,6.0,20,10,6,2019
280,2,33.1,27.5,92.7,2,10.0,1031.0,53.0,2.0,1.0,12,4,2,2019
281,0,41.9,5.0,86.6,0,16.0,1020.0,93.0,3.0,4.0,2,29,8,2018
284,1,40.3,4.8,60.4,0,15.0,1018.0,100.0,1.0,6.0,1,21,6,2019
285,2,34.6,23.3,76.9,2,17.0,1021.0,72.0,2.0,6.0,11,9,6,2019
288,4,44.3,159.3,77.5,2,20.0,1018.0,82.0,3.0,6.0,9,16,9,2019
290,3,37.1,39.1,90.1,2,27.0,1020.0,26.0,2.0,1.0,15,3,10,2018
291,2,36.1,37.0,83.8,2,24.0,1017.0,68.0,4.0,6.0,15,5,7,2019
295,1,34.3,17.5,90.9,2,10.0,1030.0,53.0,1.0,1.0,13,3,2,2019
296,1,38.2,3.2,64.1,0,15.0,1018.0,93.0,1.0,4.0,23,20,6,2019
297,1,45.3,13.9,81.3,0,14.0,1015.0,100.0,1.0,6.0,5,25,8,2019
301,2,43.2,21.6,76.7,2,19.0,1016.0,88.0,1.0,4.0,10,25,8,2019
302,1,40.4,4.5,87.4,0,21.0,1014.0,83.0,0.0,1.0,21,21,8,2018
303,0,43.7,0.0,88.3,2,20.0,1018.0,72.0,3.0,4.0,6,30,7,2018
305,0,40.8,4.4,82.4,0,17.0,1019.0,93.0,2.0,1.0,20,21,10,2018
307,1,42.7,20.7,81.7,0,17.0,1022.0,100.0,0.0,1.0,23,21,9,2018
308,0,43.8,0.8,80.9,0,17.0,1017.0,68.0,1.0,1.0,5,21,10,2018
309,2,48.1,5.5,75.5,0,3.0,1026.0,100.0,1.0,5.0,7,6,2,2019
311,1,36.8,6.8,76.4,0,19.0,1016.0,100.0,1.0,4.0,22,14,7,2019
312,3,35.0,39.5,79.1,2,17.0,1016.0,67.0,7.0,2.0,16,2,4,2019
313,3,40.8,42.1,91.7,0,13.0,1028.0,71.0,2.0,1.0,18,5,2,2019
316,2,36.4,25.0,96.7,2,28.0,1017.0,83.0,2.0,6.0,13,22,7,2019
318,0,42.8,0.0,71.5,0,13.0,1014.0,87.0,3.0,6.0,4,16,5,2019
319,0,44.4,0.0,87.0,0,11.0,1019.0,81.0,5.0,3.0,21,4,3,2019
320,0,41.5,4.5,85.4,0,12.0,1020.0,100.0,1.0,6.0,3,29,9,2019
321,0,40.2,0.0,68.0,0,13.0,1015.0,100.0,2.0,6.0,5,22,6,2019
322,0,40.8,1.0,86.0,1,12.0,1014.0,87.0,5.0,4.0,7,4,11,2018
326,0,42.4,0.0,83.3,0,17.0,1013.0,100.0,5.0,4.0,1,3,7,2019
327,1,37.9,15.8,88.8,2,16.0,1015.0,77.0,0.0,3.0,11,26,10,2018
328,0,45.5,0.0,86.2,0,19.0,1025.0,48.0,4.0,1.0,3,24,10,2018
330,3,36.8,65.0,91.5,2,21.0,1015.0,77.0,3.0,3.0,17,8,8,2018
331,4,43.3,78.8,85.7,2,11.0,1018.0,62.0,1.0,1.0,7,4,10,2018
333,2,31.9,30.4,96.4,2,10.0,1018.0,93.0,3.0,3.0,11,18,2,2019
335,1,46.7,18.4,89.5,0,19.0,1014.0,100.0,2.0,4.0,3,18,8,2019
336,2,35.3,28.5,87.7,1,15.0,1011.0,67.0,0.0,2.0,19,16,4,2019
339,1,37.6,8.5,81.8,0,10.0,1024.0,87.0,3.0,1.0,20,21,1,2019
340,1,38.9,15.5,88.4,0,19.0,1015.0,68.0,1.0,1.0,21,31,8,2018
342,0,38.7,0.0,65.7,0,8.0,1020.0,100.0,0.0,2.0,2,12,4,2019
344,3,39.6,51.0,88.3,2,17.0,1022.0,100.0,1.0,3.0,10,28,9,2018
346,0,43.1,7.7,86.9,0,16.0,1021.0,93.0,1.0,6.0,1,11,8,2019
347,1,40.6,13.6,87.6,0,24.0,1014.0,61.0,2.0,1.0,21,2,8,2018
350,0,42.1,1.0,72.2,0,10.0,1001.0,62.0,4.0,4.0,22,23,4,2019
351,4,41.7,110.1,75.2,2,11.0,1021.0,87.0,2.0,2.0,8,12,4,2019
352,0,41.7,2.8,87.0,0,16.0,1016.0,100.0,1.0,6.0,3,7,7,2019
353,3,34.1,73.9,87.5,2,23.0,1017.0,94.0,4.0,4.0,15,23,7,2019
354,0,39.5,0.0,78.6,0,16.0,1017.0,93.0,2.0,3.0,21,20,6,2019
355,0,42.1,0.0,73.9,0,11.0,1019.0,100.0,7.0,6.0,2,30,4,2019
356,0,41.5,0.0,76.1,0,11.0,1016.0,87.0,0.0,2.0,2,2,4,2019
357,4,41.4,131.2,77.1,2,18.0,1013.0,100.0,1.0,4.0,8,8,7,2019
358,2,37.2,31.6,91.0,2,21.0,1017.0,83.0,5.0,3.0,11,26,7,2018
359,0,38.2,2.8,83.9,2,20.0,1015.0,77.0,2.0,1.0,10,15,8,2018
360,0,44.0,0.0,88.7,0,22.0,1014.0,78.0,1.0,1.0,1,3,8,2018
367,1,38.1,12.9,74.5,0,11.0,1002.0,81.0,4.0,6.0,20,24,4,2019
368,1,37.4,19.0,88.4,2,14.0,1021.0,71.0,4.0,3.0,12,26,11,2018
370,4,46.5,106.6,71.4,1,16.0,1013.0,93.0,0.0,4.0,7,20,9,2019
371,2,34.8,26.8,87.1,2,23.0,1015.0,83.0,5.0,3.0,16,13,7,2019
372,2,38.2,41.8,85.3,2,17.0,1022.0,88.0,1.0,4.0,10,25,9,2019
373,2,43.0,40.6,88.8,1,17.0,1015.0,82.0,2.0,1.0,18,5,10,2018
375,0,42.1,0.0,75.1,0,2.0,1022.0,93.0,0.0,3.0,5,18,1,2019
377,2,34.2,35.9,92.5,1,12.0,1005.0,87.0,1.0,5.0,17,31,10,2018
378,1,40.0,7.7,87.9,2,25.0,1018.0,50.0,4.0,1.0,13,21,10,2018
382,0,48.3,0.0,78.6,0,12.0,1020.0,100.0,1.0,3.0,4,26,9,2019
388,1,40.9,27.5,87.3,0,17.0,1013.0,93.0,2.0,1.0,4,7,9,2018
389,0,37.3,3.4,89.0,0,12.0,1027.0,62.0,2.0,1.0,23,25,2,2019
390,0,45.3,0.7,87.0,0,14.0,1015.0,100.0,1.0,3.0,5,8,8,2018
393,1,43.9,5.1,84.6,0,15.0,1018.0,100.0,3.0,4.0,1,29,9,2018
394,0,39.9,0.0,77.7,2,10.0,1019.0,87.0,3.0,2.0,6,13,4,2019
397,4,43.2,77.5,70.7,2,21.0,1017.0,72.0,3.0,6.0,17,3,6,2019
398,0,40.1,0.0,66.7,2,15.0,1016.0,93.0,3.0,4.0,8,20,6,2019
399,2,37.0,21.5,90.6,2,21.0,1017.0,64.0,1.0,1.0,10,31,8,2018
402,0,41.8,0.0,75.1,0,7.0,1024.0,100.0,4.0,3.0,3,1,12,2018
405,2,36.3,25.9,88.5,2,17.0,1022.0,100.0,1.0,6.0,11,28,9,2019
407,0,44.6,0.7,68.4,0,15.0,1024.0,87.0,6.0,4.0,23,2,12,2018
408,2,36.3,25.3,70.1,2,24.0,1019.0,73.0,3.0,6.0,14,1,7,2019
411,2,39.4,61.8,85.1,2,23.0,1018.0,83.0,2.0,6.0,14,16,9,2019
412,2,41.4,24.8,90.7,0,16.0,1018.0,93.0,0.0,1.0,23,28,7,2018
413,2,40.5,32.8,88.3,2,28.0,1020.0,14.0,4.0,1.0,15,2,10,2018
414,0,44.5,0.0,85.0,0,16.0,1012.0,100.0,1.0,5.0,5,4,9,2018
415,3,33.5,50.1,76.7,2,17.0,1018.0,63.0,3.0,6.0,15,5,6,2019
416,3,44.7,34.1,85.7,2,26.0,1015.0,39.0,4.0,1.0,18,31,8,2018
420,0,45.1,0.0,88.8,2,18.0,1013.0,68.0,3.0,3.0,7,8,9,2018
422,3,37.3,43.3,90.3,2,20.0,1012.0,82.0,3.0,5.0,17,4,9,2018
425,0,41.3,0.0,86.6,0,10.0,1028.0,58.0,5.0,1.0,4,25,2,2019
426,3,41.9,37.9,86.6,2,20.0,1020.0,73.0,2.0,1.0,14,13,9,2018
427,1,48.6,18.7,80.7,0,18.0,1014.0,100.0,3.0,4.0,5,18,8,2019
429,0,37.4,0.0,94.4,0,10.0,1017.0,93.0,0.0,1.0,2,5,10,2018
431,0,39.6,6.0,88.2,0,17.0,1013.0,88.0,3.0,4.0,1,4,7,2019
432,3,34.9,78.7,91.2,2,23.0,1016.0,69.0,4.0,5.0,16,15,8,2018
433,1,41.1,9.3,83.3,2,22.0,1019.0,69.0,5.0,3.0,13,31,7,2018
434,2,39.6,39.6,88.3,2,20.0,1011.0,45.0,6.0,1.0,10,9,10,2018
436,2,33.1,39.6,92.3,2,20.0,1017.0,88.0,4.0,4.0,11,5,7,2019
438,0,41.4,0.0,76.3,1,15.0,1018.0,59.0,2.0,2.0,6,20,4,2019
439,0,41.3,0.0,87.0,0,6.0,1030.0,75.0,1.0,1.0,20,3,2,2019
440,1,36.6,17.6,70.6,2,14.0,999.0,67.0,6.0,6.0,12,24,4,2019
442,1,35.1,13.3,83.9,2,19.0,1011.0,77.0,11.0,3.0,12,18,6,2019
443,0,44.2,0.0,88.1,0,6.0,1030.0,100.0,0.0,3.0,5,28,2,2019
444,3,46.1,43.2,85.7,2,23.0,1019.0,41.0,4.0,1.0,17,1,10,2018
446,0,44.5,0.0,85.0,0,16.0,1022.0,93.0,0.0,1.0,0,24,9,2018
448,1,42.3,5.5,80.6,0,16.0,1019.0,93.0,2.0,5.0,21,28,9,2018
451,3,33.4,39.7,72.6,2,14.0,1010.0,77.0,9.0,4.0,10,6,6,2019
453,3,36.1,129.1,80.2,2,13.0,1022.0,72.0,1.0,6.0,10,11,4,2019
454,2,34.8,23.4,75.1,2,14.0,1023.0,82.0,2.0,5.0,15,30,11,2018
455,0,38.0,1.9,85.0,0,13.0,1029.0,76.0,0.0,1.0,21,24,2,2019
457,2,44.0,7.8,64.1,2,13.0,1014.0,87.0,5.0,6.0,6,16,5,2019
460,0,49.7,0.0,75.0,0,14.0,1023.0,100.0,0.0,1.0,1,23,9,2018
461,1,38.4,3.8,65.0,1,15.0,1017.0,72.0,2.0,6.0,20,5,6,2019
462,0,44.5,0.7,85.0,0,16.0,1021.0,93.0,1.0,6.0,6,21,9,2018
464,0,41.9,0.0,76.0,0,7.0,1024.0,93.0,3.0,3.0,7,1,12,2018
465,0,44.6,9.5,74.4,0,17.0,1014.0,82.0,5.0,1.0,21,11,10,2018
467,2,38.8,5.6,67.7,2,16.0,1016.0,100.0,0.0,4.0,6,27,6,2019
