,AVERAGE_SPEED_DIFF,AVERAGE_FREE_FLOW_SPEED,AVERAGE_TIME_DIFF,AVERAGE_FREE_FLOW_TIME,LUMINOSITY,AVERAGE_TEMPERATURE,AVERAGE_ATMOSP_PRESSURE,AVERAGE_HUMIDITY,AVERAGE_WIND_SPEED,HOUR,DAY,MONTH,YEAR,IS_STORMY
276,1,32.4,21.2,101.5,2,14.0,1022.0,62.0,2.0,13,4,3,2019,0.0
300,4,42.3,113.7,74.8,2,10.0,1014.0,93.0,4.0,9,23,11,2018,0.0
304,4,44.8,101.5,77.2,1,17.0,1018.0,100.0,7.0,7,24,9,2019,0.0
338,3,45.1,39.7,84.5,0,15.0,1013.0,87.0,6.0,18,17,10,2018,0.0
345,0,35.3,2.0,71.9,0,11.0,1015.0,93.0,5.0,5,5,6,2019,0.0
366,2,45.2,10.8,84.4,0,15.0,1013.0,100.0,10.0,22,9,11,2018,0.0
381,0,44.7,1.3,81.8,0,17.0,1012.0,93.0,2.0,0,28,8,2018,1.0
392,0,41.3,0.0,89.4,1,13.0,1019.0,100.0,8.0,8,10,2,2019,0.0
437,1,37.8,11.4,68.6,1,19.0,1016.0,82.0,4.0,20,25,6,2019,0.0
459,1,47.7,1.0,83.4,0,11.0,1001.0,87.0,3.0,2,5,11,2018,0.0
463,4,45.9,86.4,71.9,2,11.0,1011.0,87.0,6.0,8,22,11,2018,0.0
492,1,40.4,5.0,67.5,0,14.0,1019.0,100.0,6.0,19,13,4,2019,0.0
508,2,43.8,11.4,80.6,0,12.0,1016.0,76.0,4.0,20,8,11,2018,0.0
511,2,41.2,27.2,89.4,2,13.0,1011.0,93.0,6.0,11,4,11,2018,0.0
521,3,35.0,51.4,79.2,2,11.0,998.0,81.0,2.0,10,23,4,2019,0.0
535,2,39.4,15.0,81.3,2,12.0,999.0,76.0,2.0,13,23,4,2019,0.0
552,3,41.9,50.2,86.6,2,15.0,1005.0,100.0,3.0,10,15,10,2018,0.0
553,2,37.5,23.0,79.2,0,13.0,1008.0,93.0,11.0,17,24,11,2018,0.0
557,2,40.2,47.8,75.9,2,12.0,1019.0,87.0,9.0,15,22,1,2019,0.0
559,4,42.5,160.2,74.8,0,14.0,1031.0,100.0,1.0,19,7,12,2018,0.0
563,2,55.9,6.4,67.0,0,9.0,1022.0,100.0,2.0,7,30,11,2018,0.0
566,2,46.1,4.5,76.5,0,12.0,1003.0,93.0,4.0,20,4,11,2018,0.0
573,0,38.4,3.2,86.8,2,13.0,1009.0,100.0,5.0,15,11,11,2018,0.0
582,1,44.0,2.7,85.8,1,12.0,1011.0,87.0,4.0,7,6,11,2018,0.0
596,1,37.8,7.6,90.3,0,12.0,1029.0,100.0,1.0,0,2,3,2019,0.0
599,4,46.0,95.1,68.8,2,11.0,1017.0,87.0,3.0,7,7,6,2019,0.0
604,0,40.1,0.0,76.7,0,11.0,985.0,93.0,0.0,22,18,11,2018,0.0
613,4,40.3,109.8,75.4,2,13.0,1019.0,100.0,2.0,9,30,4,2019,0.0
620,2,41.2,34.7,89.4,2,13.0,1009.0,93.0,8.0,12,4,11,2018,0.0
623,1,45.9,7.7,79.1,2,15.0,1014.0,82.0,6.0,10,14,10,2018,0.0
630,0,42.8,1.9,78.0,0,17.0,1014.0,100.0,0.0,22,4,9,2018,0.0
658,0,44.7,0.0,85.6,0,12.0,1005.0,100.0,10.0,5,15,10,2018,0.0
709,4,41.1,133.1,88.7,2,15.0,1005.0,93.0,1.0,8,15,10,2018,0.0
732,0,45.5,0.0,86.2,0,11.0,997.0,93.0,3.0,3,30,10,2018,0.0
748,4,46.0,79.1,72.3,2,12.0,1000.0,87.0,2.0,8,20,11,2018,0.0
774,2,40.6,37.8,78.4,2,13.0,1006.0,76.0,5.0,10,17,4,2019,0.0
775,3,36.2,64.5,75.0,2,18.0,1021.0,87.0,3.0,11,23,5,2019,0.0
810,3,42.0,41.9,81.9,0,11.0,1009.0,87.0,3.0,17,21,11,2018,0.0
815,0,43.3,0.0,71.3,2,15.0,1012.0,100.0,4.0,8,23,6,2019,0.0
827,2,38.8,20.4,69.3,2,13.0,1017.0,100.0,4.0,12,29,11,2018,0.0
828,1,43.4,2.6,86.1,0,12.0,1003.0,87.0,1.0,22,4,11,2018,0.0
834,2,52.5,8.3,64.4,0,13.0,1018.0,87.0,7.0,7,26,11,2018,0.0
835,0,38.1,2.1,65.4,0,12.0,1020.0,93.0,1.0,3,15,6,2019,0.0
848,0,36.8,1.5,80.2,2,14.0,1012.0,67.0,7.0,13,25,4,2019,0.0
879,4,42.6,135.4,79.9,2,12.0,1012.0,82.0,9.0,10,8,11,2018,0.0
884,2,51.6,2.2,69.6,0,10.0,997.0,100.0,2.0,23,22,4,2019,0.0
891,0,40.9,2.4,87.8,0,15.0,1013.0,87.0,6.0,22,17,10,2018,0.0
905,2,42.7,30.5,79.9,2,13.0,1019.0,93.0,8.0,12,9,11,2018,0.0
912,1,52.0,1.4,70.1,0,12.0,1018.0,100.0,5.0,3,24,1,2019,0.0
918,1,43.8,2.9,84.1,2,11.0,1028.0,87.0,2.0,9,2,3,2019,0.0
923,3,39.7,65.0,76.2,2,13.0,1014.0,76.0,3.0,16,25,4,2019,0.0
945,3,42.7,48.3,85.9,0,15.0,1016.0,93.0,9.0,17,9,11,2018,0.0
946,2,32.1,49.9,76.9,2,13.0,999.0,82.0,7.0,14,24,4,2019,0.0
953,0,37.4,0.0,66.1,0,13.0,1011.0,72.0,4.0,4,18,6,2019,0.0
964,1,40.8,15.0,87.7,0,13.0,1016.0,66.0,9.0,5,26,11,2018,0.0
968,2,34.4,25.7,85.4,2,16.0,1000.0,82.0,1.0,15,18,11,2018,0.0
973,4,46.6,174.5,59.8,2,16.0,1012.0,93.0,4.0,8,4,6,2019,0.0
986,4,44.0,135.2,85.5,2,9.0,1000.0,93.0,0.0,9,30,10,2018,0.0
1004,2,36.1,46.2,76.1,2,12.0,1018.0,87.0,9.0,11,23,1,2019,0.0
1019,2,40.6,63.0,84.3,2,18.0,1009.0,94.0,9.0,11,21,9,2019,0.0
1031,1,39.5,12.7,70.6,0,11.0,1014.0,93.0,5.0,2,24,11,2018,0.0
1035,1,49.4,1.7,78.7,0,13.0,1002.0,100.0,2.0,22,19,11,2018,0.0
1046,0,41.4,0.0,88.6,0,11.0,1020.0,87.0,1.0,3,4,3,2019,0.0
1057,1,41.7,4.7,84.8,0,15.0,1012.0,100.0,10.0,0,10,11,2018,0.0
1091,0,41.5,0.0,75.5,0,9.0,1006.0,76.0,3.0,5,25,4,2019,0.0
1098,4,40.0,119.6,91.6,2,19.0,1016.0,100.0,1.0,15,25,7,2019,0.0
1100,2,32.1,32.8,76.0,2,11.0,999.0,87.0,1.0,11,23,4,2019,0.0
1101,1,38.0,19.2,91.0,2,16.0,1005.0,100.0,5.0,13,15,10,2018,0.0
1109,0,36.8,0.9,66.0,0,14.0,1019.0,100.0,3.0,1,14,4,2019,0.0
1111,0,47.4,0.0,72.7,0,11.0,1014.0,93.0,5.0,1,24,11,2018,0.0
1121,1,46.3,0.8,60.6,0,15.0,1013.0,100.0,6.0,2,10,5,2019,0.0
1143,0,46.2,0.0,85.7,0,11.0,997.0,93.0,3.0,6,30,10,2018,0.0
1150,3,40.4,40.8,75.9,2,12.0,1001.0,82.0,2.0,11,20,11,2018,0.0
1152,1,38.2,7.0,66.0,0,12.0,1015.0,93.0,5.0,4,5,6,2019,0.0
1178,1,44.6,1.1,68.1,0,10.0,1020.0,100.0,6.0,4,27,1,2019,0.0
1194,4,47.1,56.0,72.1,1,11.0,993.0,81.0,6.0,8,1,2,2019,0.0
1197,2,38.6,14.2,77.7,2,10.0,1012.0,100.0,7.0,14,30,1,2019,0.0
1216,4,47.6,94.1,66.9,2,8.0,996.0,87.0,1.0,7,23,4,2019,0.0
1236,2,40.8,52.4,74.6,2,7.0,1022.0,87.0,3.0,12,18,1,2019,0.0
1238,2,46.3,11.1,79.3,0,19.0,1013.0,100.0,4.0,2,9,8,2019,0.0
1240,3,43.6,34.9,71.6,2,17.0,1012.0,100.0,7.0,18,18,6,2019,0.0
1316,1,39.2,3.6,70.6,0,9.0,997.0,100.0,1.0,0,23,4,2019,0.0
1362,0,40.0,0.0,67.8,0,14.0,1015.0,93.0,3.0,5,25,6,2019,0.0
1370,2,51.6,3.2,69.7,0,8.0,999.0,93.0,6.0,2,24,4,2019,0.0
1384,0,46.1,0.0,81.9,1,12.0,1012.0,87.0,4.0,7,14,10,2018,0.0
1418,3,40.0,59.0,75.6,2,20.0,1010.0,60.0,7.0,18,3,5,2019,0.0
1427,4,44.0,163.3,85.5,2,16.0,1008.0,100.0,4.0,8,11,10,2018,0.0
1432,0,42.3,2.7,88.7,0,11.0,1023.0,100.0,4.0,3,9,2,2019,0.0
1435,1,38.5,9.8,83.3,2,12.0,1013.0,87.0,5.0,8,24,11,2018,0.0
1446,3,42.3,49.8,84.3,2,14.0,1016.0,100.0,10.0,15,9,11,2018,0.0
1452,1,45.9,5.3,80.9,0,15.0,1010.0,100.0,8.0,4,10,11,2018,0.0
1490,3,40.9,45.9,91.4,2,22.0,1012.0,100.0,8.0,13,8,8,2019,0.0
1496,1,43.5,11.5,76.1,2,17.0,1008.0,93.0,8.0,9,21,9,2019,0.0
1510,2,32.2,27.4,93.9,2,13.0,1022.0,58.0,3.0,11,4,3,2019,0.0
1515,2,43.5,12.4,75.0,0,18.0,1014.0,100.0,2.0,21,25,8,2019,0.0
1516,3,44.0,48.4,86.0,0,13.0,1007.0,100.0,6.0,18,30,1,2019,0.0
1517,2,34.9,30.9,76.0,2,13.0,1017.0,93.0,10.0,16,23,1,2019,0.0
1532,2,44.0,17.3,77.9,0,10.0,1017.0,93.0,5.0,2,18,2,2019,0.0
1540,0,41.9,0.0,86.8,0,9.0,1016.0,100.0,1.0,5,18,2,2019,0.0
1546,0,45.0,1.6,67.7,2,9.0,1014.0,100.0,6.0,10,19,1,2019,0.0
1549,4,45.1,104.9,70.0,2,12.0,1001.0,93.0,2.0,9,20,11,2018,0.0
1553,3,38.3,72.0,80.1,2,15.0,1020.0,93.0,3.0,14,13,4,2019,0.0
1561,0,40.5,1.3,68.6,1,11.0,1018.0,100.0,1.0,6,30,4,2019,0.0
1566,0,38.5,1.2,71.6,0,15.0,1013.0,100.0,3.0,5,10,5,2019,0.0
1598,2,32.1,20.8,82.6,2,16.0,1016.0,82.0,4.0,12,7,5,2019,0.0
1615,3,42.7,47.0,79.6,2,13.0,1008.0,82.0,11.0,16,24,11,2018,0.0
1630,2,34.6,23.1,89.4,2,14.0,1010.0,82.0,9.0,13,24,11,2018,0.0
1669,0,39.4,2.6,71.3,2,12.0,1013.0,87.0,6.0,9,24,11,2018,0.0
1673,0,41.6,0.0,74.9,0,15.0,1011.0,100.0,7.0,3,8,5,2019,0.0
1676,0,41.4,0.0,85.6,0,13.0,1004.0,100.0,6.0,5,31,1,2019,0.0
1688,3,43.0,38.7,74.3,0,13.0,1017.0,93.0,7.0,18,23,1,2019,0.0
1690,0,40.8,3.7,86.8,0,13.0,1003.0,100.0,4.0,19,4,11,2018,0.0
1702,3,39.4,31.8,87.3,2,12.0,1009.0,100.0,4.0,16,30,1,2019,0.0
1733,1,36.3,2.6,69.9,2,11.0,1009.0,66.0,5.0,9,25,4,2019,0.0
1744,1,42.8,2.8,81.4,0,10.0,1000.0,71.0,3.0,20,23,4,2019,0.0
1757,3,39.8,55.1,75.6,2,12.0,1000.0,87.0,3.0,17,24,4,2019,0.0
1764,2,39.6,10.5,70.9,0,14.0,1012.0,100.0,4.0,2,23,6,2019,0.0
1766,2,38.8,21.4,82.3,2,10.0,1014.0,100.0,4.0,12,30,1,2019,0.0
1772,2,45.9,16.8,79.3,0,14.0,1008.0,93.0,10.0,19,24,11,2018,0.0
1776,2,34.3,30.9,82.1,2,14.0,1014.0,87.0,3.0,10,19,4,2019,0.0
1783,0,39.4,7.3,80.4,0,9.0,996.0,100.0,2.0,1,23,4,2019,0.0
1788,0,40.9,0.0,87.0,0,19.0,1012.0,73.0,5.0,4,8,9,2018,1.0
1809,0,46.4,2.1,82.2,0,17.0,1012.0,93.0,3.0,1,28,8,2018,1.0
1811,2,38.0,22.0,81.5,2,11.0,995.0,76.0,9.0,13,1,2,2019,0.0
1823,4,45.0,81.3,72.8,2,16.0,1012.0,100.0,8.0,17,18,6,2019,0.0
1831,4,41.3,58.6,86.4,0,10.0,1006.0,93.0,2.0,19,29,10,2018,0.0
1842,1,37.7,12.9,67.5,2,12.0,1019.0,87.0,4.0,11,29,1,2019,0.0
1860,2,49.0,4.4,66.4,0,8.0,1013.0,93.0,2.0,7,23,11,2018,0.0
1873,1,36.1,5.7,67.0,0,14.0,1025.0,93.0,3.0,22,27,4,2019,0.0
1875,2,46.5,2.2,85.8,0,12.0,1003.0,93.0,1.0,21,4,11,2018,0.0
1882,2,40.6,8.2,67.3,0,12.0,1017.0,87.0,9.0,7,23,1,2019,0.0
1892,1,43.8,1.8,83.3,0,11.0,1003.0,100.0,3.0,23,4,11,2018,0.0
1917,0,44.2,0.0,67.8,0,10.0,1005.0,76.0,7.0,2,25,4,2019,0.0
1919,0,38.2,4.7,88.9,0,20.0,1011.0,78.0,2.0,21,27,8,2018,0.0
1922,4,46.1,125.5,81.9,1,16.0,1006.0,93.0,3.0,7,11,10,2018,0.0
1924,3,39.8,36.5,75.6,2,13.0,1000.0,87.0,7.0,15,24,4,2019,0.0
1925,3,43.5,43.7,64.3,2,12.0,1024.0,93.0,5.0,10,28,1,2019,0.0
1939,2,46.5,15.7,78.1,2,12.0,1021.0,93.0,3.0,13,22,1,2019,0.0
1945,2,38.4,12.3,80.2,2,14.0,1019.0,100.0,5.0,18,13,4,2019,0.0
1947,3,44.7,36.7,78.1,0,13.0,1017.0,93.0,7.0,19,23,1,2019,0.0
1963,0,40.8,3.8,67.3,0,12.0,1016.0,82.0,6.0,1,17,5,2019,0.0
1975,1,46.1,13.9,88.6,0,20.0,1013.0,100.0,4.0,1,9,8,2019,0.0
2007,2,42.9,34.2,75.1,2,9.0,993.0,81.0,7.0,12,1,2,2019,0.0
2018,4,45.4,62.4,74.5,2,13.0,1007.0,100.0,2.0,17,6,6,2019,0.0
2050,3,43.5,31.5,72.1,1,13.0,1007.0,82.0,5.0,19,17,4,2019,0.0
2065,2,36.4,18.2,71.2,2,16.0,1016.0,93.0,4.0,13,7,5,2019,0.0
2076,2,45.7,5.6,64.0,0,10.0,1011.0,87.0,7.0,3,22,11,2018,0.0
2091,3,44.5,36.5,89.0,2,13.0,998.0,93.0,6.0,18,22,4,2019,0.0
2101,2,39.5,29.5,83.7,2,21.0,1011.0,100.0,8.0,19,8,8,2019,0.0
2121,2,46.2,3.0,81.4,0,13.0,1006.0,100.0,6.0,22,6,11,2018,0.0
2130,2,37.1,12.9,81.6,2,17.0,1013.0,100.0,6.0,19,18,6,2019,0.0
2131,1,46.4,7.7,62.2,0,15.0,1011.0,100.0,3.0,4,23,6,2019,0.0
2150,2,36.4,29.2,79.4,2,13.0,1000.0,71.0,3.0,15,23,4,2019,0.0
2168,0,43.8,0.0,74.5,0,10.0,1012.0,93.0,5.0,0,23,11,2018,0.0
2175,0,43.7,0.0,68.5,0,8.0,995.0,93.0,5.0,4,24,4,2019,0.0
2176,0,41.5,0.0,87.4,0,11.0,1022.0,100.0,1.0,7,9,2,2019,0.0
2184,2,39.1,21.8,69.8,0,14.0,1018.0,100.0,3.0,2,14,4,2019,0.0
2191,3,37.3,103.4,90.8,2,23.0,1017.0,50.0,4.0,16,21,10,2018,0.0
2205,2,37.5,31.8,89.0,0,13.0,1007.0,93.0,8.0,18,24,11,2018,0.0
2212,0,41.9,0.0,74.3,0,14.0,1017.0,100.0,5.0,5,7,5,2019,0.0
2216,3,41.5,35.5,82.9,2,12.0,1016.0,100.0,7.0,15,29,1,2019,0.0
2223,0,34.4,4.6,81.3,0,10.0,1004.0,100.0,5.0,21,29,10,2018,0.0
2224,2,47.6,8.2,78.5,0,13.0,1005.0,93.0,9.0,0,14,10,2018,0.0
2256,3,40.0,37.3,83.3,2,15.0,1005.0,100.0,4.0,11,15,10,2018,0.0
2258,4,41.8,85.2,88.7,0,12.0,1022.0,87.0,3.0,18,8,2,2019,0.0
2274,2,38.4,6.9,82.4,0,12.0,1009.0,93.0,3.0,19,11,11,2018,0.0
2328,2,34.5,23.1,91.3,2,12.0,1004.0,87.0,4.0,14,31,10,2018,0.0
2342,2,48.8,14.9,74.4,0,11.0,1006.0,100.0,3.0,18,25,11,2018,0.0
2344,1,40.0,15.4,87.9,2,13.0,1015.0,87.0,5.0,11,14,10,2018,0.0
2346,3,46.5,27.0,78.2,0,12.0,1014.0,82.0,4.0,20,23,11,2018,0.0
2359,0,45.8,0.0,88.4,0,13.0,1011.0,76.0,4.0,4,14,10,2018,0.0
2371,3,39.2,38.7,75.5,2,13.0,1006.0,100.0,5.0,15,17,4,2019,0.0
2385,0,36.2,0.6,73.7,0,12.0,1009.0,87.0,5.0,23,17,4,2019,0.0
2407,2,34.9,48.1,79.6,2,14.0,1019.0,100.0,1.0,10,30,4,2019,0.0
2434,1,33.6,12.6,76.2,2,15.0,1003.0,87.0,5.0,10,22,4,2019,0.0
2487,3,40.5,76.3,84.4,2,18.0,1007.0,100.0,8.0,15,21,9,2019,0.0
2495,3,41.5,38.3,76.7,2,22.0,1013.0,69.0,3.0,18,25,8,2019,0.0
2508,2,37.8,15.9,83.2,2,13.0,999.0,67.0,7.0,11,24,4,2019,0.0
2523,2,39.9,7.4,64.1,1,15.0,1013.0,100.0,4.0,6,10,5,2019,0.0
2534,2,41.1,32.5,85.8,2,18.0,1008.0,100.0,7.0,12,21,9,2019,0.0
2536,4,43.7,75.7,76.2,2,12.0,1016.0,100.0,8.0,10,29,11,2018,0.0
2542,3,41.2,32.5,79.5,0,12.0,985.0,87.0,1.0,18,18,11,2018,0.0
2544,1,38.4,5.8,78.3,2,10.0,1016.0,76.0,2.0,8,18,5,2019,0.0
2553,3,45.2,38.8,89.0,2,12.0,1008.0,100.0,4.0,17,30,1,2019,0.0
2563,2,37.6,19.1,87.8,2,13.0,1009.0,76.0,4.0,14,25,11,2018,0.0
2593,2,38.9,22.0,84.1,2,18.0,1008.0,100.0,9.0,13,21,9,2019,0.0
2596,3,41.5,69.7,72.6,2,16.0,1012.0,100.0,7.0,16,9,5,2019,0.0
2609,0,42.3,0.0,82.3,0,12.0,1008.0,100.0,8.0,3,15,10,2018,0.0
2629,3,40.3,62.0,81.7,2,12.0,1011.0,100.0,8.0,11,8,11,2018,0.0
2649,1,39.5,18.8,77.7,2,13.0,1008.0,93.0,8.0,13,4,11,2018,0.0
2656,1,37.2,8.3,83.0,2,12.0,1014.0,93.0,2.0,8,19,4,2019,0.0
2661,4,46.2,107.9,85.7,1,14.0,1004.0,100.0,4.0,7,15,10,2018,0.0
2711,4,44.5,137.6,71.6,2,15.0,1013.0,100.0,5.0,9,4,6,2019,0.0
2737,1,46.4,3.0,79.8,0,14.0,1005.0,93.0,6.0,4,31,1,2019,0.0
2753,4,41.9,65.3,72.4,2,12.0,1018.0,87.0,10.0,9,23,1,2019,0.0
2768,2,37.8,29.1,86.2,2,13.0,1011.0,93.0,7.0,12,8,11,2018,0.0
2775,2,39.3,33.3,74.3,2,13.0,1008.0,76.0,4.0,15,25,11,2018,0.0
2785,0,40.6,0.0,86.7,2,9.0,1007.0,71.0,4.0,7,25,4,2019,0.0
2804,0,41.6,0.0,74.3,1,11.0,1014.0,100.0,1.0,6,1,5,2019,0.0
2806,1,48.6,5.1,83.6,0,13.0,1019.0,100.0,8.0,7,10,2,2019,0.0
2807,3,39.6,80.0,87.8,2,16.0,1015.0,93.0,4.0,15,17,10,2018,0.0
2816,1,42.8,15.7,86.5,2,17.0,1021.0,100.0,1.0,8,10,8,2019,0.0
2817,4,45.1,132.4,84.7,2,12.0,1011.0,87.0,11.0,9,8,11,2018,0.0
2819,3,39.4,43.7,87.4,2,14.0,998.0,100.0,7.0,17,31,1,2019,0.0
2855,3,53.3,9.2,70.5,0,10.0,1010.0,87.0,6.0,7,22,11,2018,0.0
2875,0,44.7,2.1,85.7,0,10.0,998.0,93.0,5.0,2,30,10,2018,0.0
2879,0,37.8,4.3,87.0,1,17.0,1013.0,100.0,5.0,20,18,6,2019,0.0
2940,3,38.2,124.8,79.9,2,18.0,1019.0,100.0,2.0,10,24,9,2019,0.0
2950,2,37.8,33.6,83.6,2,12.0,1011.0,82.0,2.0,15,8,11,2018,1.0
3014,2,48.3,32.5,70.8,2,11.0,1008.0,76.0,4.0,15,21,11,2018,0.0
3028,4,44.2,83.8,79.1,2,13.0,1003.0,100.0,5.0,9,31,1,2019,0.0
3044,0,39.4,2.4,70.8,0,11.0,1019.0,93.0,5.0,1,23,1,2019,0.0
3052,1,41.3,2.4,70.4,0,13.0,1019.0,93.0,4.0,22,29,4,2019,0.0
3065,2,44.9,6.3,84.0,0,11.0,1009.0,100.0,1.0,18,11,11,2018,0.0
3088,2,33.1,43.3,77.0,2,15.0,1015.0,82.0,4.0,10,16,5,2019,0.0
3089,0,47.2,0.0,81.3,0,9.0,1006.0,81.0,5.0,23,1,2,2019,0.0
3105,3,45.6,48.9,74.1,2,20.0,1012.0,100.0,7.0,9,8,8,2019,0.0
3108,1,33.8,13.9,85.0,2,16.0,1017.0,100.0,3.0,10,14,4,2019,0.0
3119,2,41.0,56.2,87.5,2,21.0,1012.0,100.0,8.0,12,8,8,2019,0.0
3123,0,41.3,1.1,81.9,0,10.0,1002.0,93.0,7.0,22,29,10,2018,0.0
3145,0,41.9,0.0,73.5,0,12.0,1012.0,71.0,4.0,5,4,5,2019,0.0
3158,0,42.1,0.0,74.9,0,6.0,1017.0,93.0,4.0,5,19,1,2019,0.0
3178,0,45.3,0.0,74.7,0,11.0,985.0,96.0,0.0,23,18,11,2018,0.0
3180,0,35.3,2.0,71.3,0,12.0,1011.0,82.0,2.0,22,6,6,2019,0.0
3185,1,40.4,6.1,61.1,0,14.0,1011.0,93.0,3.0,3,23,6,2019,0.0
3189,2,44.6,21.3,91.7,0,16.0,1004.0,93.0,10.0,21,13,10,2018,0.0
3194,0,44.8,1.2,86.1,0,13.0,1007.0,93.0,5.0,1,7,11,2018,0.0
3213,2,37.3,29.9,77.0,2,20.0,1017.0,82.0,3.0,14,19,6,2019,0.0
3219,0,40.0,1.8,87.9,0,13.0,1006.0,93.0,7.0,1,14,10,2018,0.0
3246,1,38.1,9.3,72.3,2,13.0,1016.0,100.0,5.0,13,29,11,2018,0.0
3248,0,40.2,1.4,69.1,0,11.0,985.0,93.0,0.0,21,18,11,2018,0.0
3253,3,49.5,18.2,80.2,0,11.0,1023.0,100.0,4.0,20,8,2,2019,0.0
3254,2,45.5,3.5,82.1,1,10.0,1003.0,93.0,6.0,7,5,11,2018,0.0
3256,1,43.1,11.8,86.2,0,18.0,1013.0,100.0,4.0,3,9,8,2019,0.0
3258,3,44.5,118.6,85.0,2,15.0,1014.0,100.0,4.0,16,17,10,2018,0.0
3271,3,32.9,147.8,82.3,2,14.0,1019.0,100.0,4.0,16,13,4,2019,0.0
3296,0,40.9,4.8,87.8,0,18.0,1013.0,93.0,1.0,21,4,9,2018,1.0
3312,1,52.4,2.7,74.8,0,13.0,1004.0,100.0,6.0,6,31,1,2019,0.0
3315,3,42.1,40.3,84.2,0,11.0,1001.0,71.0,10.0,19,1,2,2019,0.0
3326,1,38.0,7.9,78.6,0,12.0,1007.0,87.0,7.0,20,17,4,2019,0.0
3331,2,46.2,6.0,87.9,0,18.0,1004.0,88.0,7.0,3,11,10,2018,0.0
3336,2,49.3,12.4,72.8,0,13.0,1002.0,100.0,2.0,21,19,11,2018,0.0
3341,0,41.9,0.0,86.8,0,9.0,1016.0,100.0,1.0,4,18,2,2019,0.0
3354,0,39.9,0.0,84.6,0,17.0,1017.0,100.0,1.0,23,22,7,2019,0.0
3382,0,41.6,0.0,84.8,0,13.0,1006.0,100.0,4.0,0,31,1,2019,0.0
3385,2,39.6,8.7,87.8,0,16.0,1005.0,100.0,6.0,6,11,10,2018,0.0
3394,0,38.3,0.0,84.8,0,11.0,1005.0,93.0,3.0,23,30,10,2018,0.0
3410,0,39.8,3.7,83.1,0,18.0,1013.0,100.0,3.0,4,25,7,2019,0.0
3415,1,42.7,10.2,63.6,0,15.0,1011.0,100.0,2.0,5,23,6,2019,0.0
3431,2,34.5,26.2,86.8,2,12.0,1004.0,87.0,5.0,13,31,10,2018,0.0
3448,0,44.5,0.8,68.4,0,10.0,1010.0,87.0,6.0,4,22,11,2018,0.0
3449,0,42.3,2.4,89.7,0,13.0,1019.0,100.0,7.0,6,10,2,2019,0.0
3451,1,44.5,10.4,81.3,0,13.0,1010.0,93.0,9.0,2,15,10,2018,0.0
3453,3,31.7,67.5,82.2,2,11.0,1018.0,93.0,3.0,15,16,1,2019,0.0
3491,0,39.2,0.0,71.4,0,11.0,1005.0,93.0,2.0,4,21,11,2018,0.0
3498,3,45.0,30.0,89.6,2,14.0,1008.0,82.0,9.0,15,24,11,2018,0.0
3500,1,37.3,13.2,89.7,0,15.0,1012.0,100.0,11.0,23,9,11,2018,0.0
3506,0,42.4,0.0,86.6,0,17.0,1013.0,93.0,1.0,23,27,8,2018,1.0
3525,2,35.3,27.0,85.1,2,9.0,1001.0,81.0,4.0,13,30,10,2018,0.0
3537,2,43.7,18.3,79.3,2,13.0,1016.0,100.0,1.0,14,29,11,2018,0.0
