AVERAGE_SPEED_DIFF,AVERAGE_FREE_F1_SPEED,AVERAGE_TIME_DIFF,AVERAGE_FREE_F1_TIME,LUMINOSITY,AVERAGE_TEMPERATURE,AVERAGE_ATMOSP_PRESSURE,AVERAGE_HUMIDITY,AVERAGE_WIND_SPEED,AVERAGE_CLOUDINESS,HOUR,DAY,MONTH,YEAR,IDENTIFIER
0,41.1,0.0,86.7,0,7.0,1030.0,87.0,0.0,0.0,0,12,2,2019,0_12_2_2019
0,39.7,3.1,77.9,0,9.0,1021.0,93.0,0.0,0.0,0,12,4,2019,0_12_4_2019
0,39.7,3.1,77.9,0,9.0,1021.0,93.0,0.0,0.0,0,12,4,2019,0_12_4_2019
0,42.7,2.8,83.5,0,15.0,1019.0,93.0,2.0,0.0,0,12,8,2018,0_12_8_2018
0,42.7,2.8,83.5,0,15.0,1019.0,93.0,2.0,0.0,0,12,8,2018,0_12_8_2018
1,40.4,2.8,87.9,0,17.0,1020.0,93.0,1.0,0.0,0,12,9,2018,0_12_9_2018
1,40.4,2.8,87.9,0,17.0,1020.0,93.0,1.0,0.0,0,12,9,2018,0_12_9_2018
0,48.1,1.7,84.0,0,19.0,1017.0,77.0,3.0,0.0,0,13,10,2018,0_13_10_2018
0,48.1,1.7,84.0,0,19.0,1017.0,77.0,3.0,0.0,0,13,10,2018,0_13_10_2018
1,39.4,2.8,88.2,0,8.0,1029.0,57.0,2.0,0.0,0,13,2,2019,0_13_2_2019
1,39.4,2.8,88.2,0,8.0,1029.0,57.0,2.0,0.0,0,13,2,2019,0_13_2_2019
1,37.4,3.6,65.2,0,11.0,1020.0,93.0,0.0,0.0,0,13,4,2019,0_13_4_2019
1,37.4,3.6,65.2,0,11.0,1020.0,93.0,0.0,0.0,0,13,4,2019,0_13_4_2019
1,42.0,0.6,79.0,0,9.0,1022.0,81.0,4.0,0.0,0,14,11,2018,0_14_11_2018
1,42.0,0.6,79.0,0,9.0,1022.0,81.0,4.0,0.0,0,14,11,2018,0_14_11_2018
0,37.3,1.1,78.4,0,18.0,1016.0,100.0,2.0,3.0,0,14,7,2019,0_14_7_2019
0,37.3,1.1,78.4,0,18.0,1016.0,100.0,2.0,2.0,0,14,7,2019,0_14_7_2019
0,44.2,1.4,82.1,0,15.0,1017.0,93.0,0.0,0.0,0,14,8,2018,0_14_8_2018
0,44.2,1.4,82.1,0,15.0,1017.0,93.0,0.0,0.0,0,14,8,2018,0_14_8_2018
0,45.3,1.8,81.1,0,15.0,1018.0,100.0,1.0,0.0,0,14,9,2018,0_14_9_2018
0,45.3,1.8,81.1,0,15.0,1018.0,100.0,1.0,0.0,0,14,9,2018,0_14_9_2018
0,43.8,4.8,75.6,0,24.0,1020.0,33.0,4.0,2.0,0,14,9,2019,0_14_9_2019
0,43.8,4.8,75.6,0,24.0,1020.0,33.0,4.0,3.0,0,14,9,2019,0_14_9_2019
1,45.1,7.7,86.0,0,13.0,1012.0,76.0,6.0,0.0,0,15,10,2018,0_15_10_2018
1,45.1,7.7,86.0,0,13.0,1012.0,76.0,6.0,3.0,0,15,10,2018,0_15_10_2018
1,36.9,9.6,78.1,0,13.0,1014.0,72.0,5.0,0.0,0,15,11,2018,0_15_11_2018
1,36.9,9.6,78.1,0,13.0,1014.0,72.0,5.0,0.0,0,15,11,2018,0_15_11_2018
1,36.5,8.4,91.3,0,10.0,1023.0,50.0,4.0,0.0,0,15,2,2019,0_15_2_2019
1,36.5,8.4,91.3,0,10.0,1023.0,50.0,4.0,0.0,0,15,2,2019,0_15_2_2019
0,41.9,0.0,74.0,0,15.0,1013.0,93.0,3.0,3.0,0,15,4,2019,0_15_4_2019
0,41.9,0.0,74.0,0,15.0,1013.0,93.0,3.0,0.0,0,15,4,2019,0_15_4_2019
1,33.6,9.4,82.8,0,18.0,1016.0,93.0,2.0,4.0,0,15,7,2019,0_15_7_2019
1,33.6,9.4,82.8,0,18.0,1016.0,93.0,2.0,3.0,0,15,7,2019,0_15_7_2019
0,42.3,2.1,85.1,0,17.0,1016.0,88.0,3.0,0.0,0,15,8,2018,0_15_8_2018
0,42.3,2.1,85.1,0,17.0,1016.0,88.0,3.0,0.0,0,15,8,2018,0_15_8_2018
0,33.1,1.9,79.3,0,12.0,1016.0,82.0,2.0,3.0,0,16,11,2018,0_16_11_2018
0,33.1,1.9,79.3,0,12.0,1016.0,82.0,2.0,0.0,0,16,11,2018,0_16_11_2018
0,32.9,9.0,88.2,0,9.0,1024.0,76.0,1.0,0.0,0,16,2,2019,0_16_2_2019
0,32.9,9.0,88.2,0,9.0,1024.0,76.0,1.0,0.0,0,16,2,2019,0_16_2_2019
0,39.1,3.4,94.9,0,18.0,1015.0,100.0,11.0,2.0,0,16,7,2019,0_16_7_2019
0,39.1,3.4,94.9,0,18.0,1015.0,100.0,11.0,3.0,0,16,7,2019,0_16_7_2019
0,37.4,6.5,93.0,0,9.0,1021.0,76.0,3.0,2.0,0,17,2,2019,0_17_2_2019
0,37.4,6.5,93.0,0,9.0,1021.0,76.0,3.0,0.0,0,17,2,2019,0_17_2_2019
0,43.8,5.8,80.9,0,16.0,1017.0,82.0,2.0,0.0,0,17,8,2018,0_17_8_2018
0,43.8,5.8,80.9,0,16.0,1017.0,82.0,2.0,0.0,0,17,8,2018,0_17_8_2018
0,45.1,0.0,85.3,0,14.0,1012.0,93.0,2.0,3.0,0,18,10,2018,0_18_10_2018
0,45.1,0.0,85.3,0,14.0,1012.0,93.0,2.0,0.0,0,18,10,2018,0_18_10_2018
1,35.2,5.0,72.9,0,18.0,1003.0,59.0,4.0,0.0,0,18,11,2018,0_18_11_2018
1,35.2,5.0,72.9,0,18.0,1003.0,59.0,4.0,0.0,0,18,11,2018,0_18_11_2018
0,38.0,2.5,82.6,0,4.0,1023.0,100.0,0.0,0.0,0,18,1,2019,0_18_1_2019
0,38.0,2.5,82.6,0,4.0,1023.0,100.0,0.0,0.0,0,18,1,2019,0_18_1_2019
0,43.0,0.0,69.3,0,11.0,1017.0,76.0,2.0,2.0,0,18,5,2019,0_18_5_2019
0,43.0,0.0,69.3,0,11.0,1017.0,76.0,2.0,2.0,0,18,5,2019,0_18_5_2019
1,39.8,2.8,81.5,0,18.0,1016.0,73.0,1.0,0.0,0,18,8,2018,0_18_8_2018
1,39.8,2.8,81.5,0,18.0,1016.0,73.0,1.0,0.0,0,18,8,2018,0_18_8_2018
0,44.0,1.9,81.4,0,16.0,1014.0,82.0,3.0,0.0,0,19,10,2018,0_19_10_2018
0,44.0,1.9,81.4,0,16.0,1014.0,82.0,3.0,0.0,0,19,10,2018,0_19_10_2018
0,41.4,0.0,85.0,0,8.0,1021.0,93.0,1.0,0.0,0,19,2,2019,0_19_2_2019
0,41.4,0.0,85.0,0,8.0,1021.0,93.0,1.0,0.0,0,19,2,2019,0_19_2_2019
0,37.0,0.6,67.1,0,13.0,1015.0,93.0,2.0,0.0,0,19,4,2019,0_19_4_2019
0,37.0,0.6,67.1,0,13.0,1015.0,93.0,2.0,0.0,0,19,4,2019,0_19_4_2019
0,47.5,0.0,82.3,0,18.0,1016.0,68.0,2.0,0.0,0,19,8,2018,0_19_8_2018
0,47.5,0.0,82.3,0,18.0,1016.0,68.0,2.0,0.0,0,19,8,2018,0_19_8_2018
0,37.6,0.0,74.9,0,8.0,1025.0,93.0,3.0,2.0,0,1,12,2018,0_1_12_2018
0,37.6,0.0,74.9,0,8.0,1025.0,93.0,3.0,2.0,0,1,12,2018,0_1_12_2018
0,41.8,0.0,74.8,0,14.0,1011.0,76.0,1.0,0.0,0,1,4,2019,0_1_4_2019
0,41.8,0.0,74.8,0,14.0,1011.0,76.0,1.0,0.0,0,1,4,2019,0_1_4_2019
0,37.8,1.5,65.4,0,17.0,1020.0,100.0,0.0,3.0,0,1,7,2019,0_1_7_2019
0,37.8,1.5,65.4,0,17.0,1020.0,100.0,0.0,3.0,0,1,7,2019,0_1_7_2019
0,42.2,3.3,87.7,0,15.0,1017.0,93.0,0.0,0.0,0,1,8,2018,0_1_8_2018
0,42.2,3.3,87.7,0,15.0,1017.0,93.0,0.0,0.0,0,1,8,2018,0_1_8_2018
0,41.1,2.7,86.8,0,17.0,1015.0,82.0,0.0,0.0,0,1,9,2018,0_1_9_2018
0,41.1,2.7,86.8,0,17.0,1015.0,82.0,0.0,0.0,0,1,9,2018,0_1_9_2018
0,44.4,1.0,68.7,0,14.0,1001.0,100.0,3.0,4.0,0,20,11,2018,0_20_11_2018
0,44.4,1.0,68.7,0,14.0,1001.0,100.0,3.0,3.0,0,20,11,2018,0_20_11_2018
1,34.1,6.4,73.2,0,16.0,1019.0,76.0,3.0,0.0,0,20,4,2019,0_20_4_2019
1,34.1,6.4,73.2,0,16.0,1019.0,76.0,3.0,0.0,0,20,4,2019,0_20_4_2019
0,37.7,3.4,64.2,0,15.0,1017.0,93.0,2.0,3.0,0,20,6,2019,0_20_6_2019
0,37.7,3.4,64.2,0,15.0,1017.0,93.0,2.0,2.0,0,20,6,2019,0_20_6_2019
0,41.7,4.1,89.8,0,17.0,1022.0,100.0,3.0,2.0,0,20,9,2018,0_20_9_2018
0,41.7,4.1,89.8,0,17.0,1022.0,100.0,3.0,0.0,0,20,9,2018,0_20_9_2018
1,44.7,4.4,79.9,0,16.0,1016.0,100.0,0.0,4.0,0,20,9,2019,0_20_9_2019
1,44.7,4.4,79.9,0,16.0,1016.0,100.0,0.0,3.0,0,20,9,2019,0_20_9_2019
1,45.8,32.2,84.7,0,19.0,1017.0,68.0,1.0,0.0,0,21,10,2018,0_21_10_2018
1,45.8,32.2,84.7,0,19.0,1017.0,68.0,1.0,0.0,0,21,10,2018,0_21_10_2018
0,41.8,0.0,75.8,0,7.0,1024.0,87.0,3.0,0.0,0,21,1,2019,0_21_1_2019
0,41.8,0.0,75.8,0,7.0,1024.0,87.0,3.0,0.0,0,21,1,2019,0_21_1_2019
0,37.0,3.0,95.2,0,9.0,1023.0,87.0,2.0,0.0,0,21,2,2019,0_21_2_2019
0,37.0,3.0,95.2,0,9.0,1023.0,87.0,2.0,2.0,0,21,2,2019,0_21_2_2019
0,36.4,0.8,77.0,0,17.0,1013.0,56.0,3.0,2.0,0,21,4,2019,0_21_4_2019
0,36.4,0.8,77.0,0,17.0,1013.0,56.0,3.0,0.0,0,21,4,2019,0_21_4_2019
1,40.5,3.8,60.5,0,12.0,1016.0,87.0,2.0,2.0,0,21,5,2019,0_21_5_2019
1,40.5,3.8,60.5,0,12.0,1016.0,87.0,2.0,2.0,0,21,5,2019,0_21_5_2019
0,37.8,0.0,62.9,0,15.0,1018.0,100.0,6.0,3.0,0,21,6,2019,0_21_6_2019
0,37.8,0.0,62.9,0,15.0,1018.0,100.0,6.0,2.0,0,21,6,2019,0_21_6_2019
0,42.4,0.0,86.6,0,19.0,1014.0,73.0,0.0,0.0,0,21,8,2018,0_21_8_2018
0,42.4,0.0,86.6,0,19.0,1014.0,73.0,0.0,0.0,0,21,8,2018,0_21_8_2018
0,45.8,1.1,84.7,0,18.0,1021.0,93.0,1.0,0.0,0,21,9,2018,0_21_9_2018
0,45.8,1.1,84.7,0,18.0,1021.0,93.0,1.0,4.0,0,21,9,2018,0_21_9_2018
0,43.2,3.9,76.7,0,16.0,1011.0,82.0,4.0,2.0,0,21,9,2019,0_21_9_2019
0,43.2,3.9,76.7,0,16.0,1011.0,82.0,4.0,2.0,0,21,9,2019,0_21_9_2019
0,48.0,0.0,86.5,0,17.0,1020.0,88.0,0.0,0.0,0,22,10,2018,0_22_10_2018
0,48.0,0.0,86.5,0,17.0,1020.0,88.0,0.0,0.0,0,22,10,2018,0_22_10_2018
0,37.2,0.0,93.6,0,10.0,1027.0,81.0,4.0,0.0,0,22,2,2019,0_22_2_2019
0,37.2,0.0,93.6,0,10.0,1027.0,81.0,4.0,3.0,0,22,2,2019,0_22_2_2019
0,38.5,1.8,74.4,0,14.0,1007.0,76.0,4.0,0.0,0,22,4,2019,0_22_4_2019
0,38.5,1.8,74.4,0,14.0,1007.0,76.0,4.0,2.0,0,22,4,2019,0_22_4_2019
0,35.3,2.7,61.1,0,15.0,1017.0,100.0,2.0,3.0,0,22,6,2019,0_22_6_2019
0,35.3,2.7,61.1,0,15.0,1017.0,100.0,2.0,3.0,0,22,6,2019,0_22_6_2019
0,45.5,4.5,80.2,0,19.0,1014.0,93.0,2.0,0.0,0,22,8,2018,0_22_8_2018
0,45.5,4.5,80.2,0,19.0,1014.0,93.0,2.0,0.0,0,22,8,2018,0_22_8_2018
1,45.8,4.6,90.7,0,17.0,1022.0,100.0,0.0,1.0,0,22,9,2018,0_22_9_2018
1,45.8,4.6,90.7,0,17.0,1022.0,100.0,0.0,0.0,0,22,9,2018,0_22_9_2018
0,46.9,0.0,85.2,0,19.0,1022.0,42.0,1.0,0.0,0,23,10,2018,0_23_10_2018
0,46.9,0.0,85.2,0,19.0,1022.0,42.0,1.0,0.0,0,23,10,2018,0_23_10_2018
0,39.2,0.0,92.1,0,14.0,1028.0,76.0,4.0,3.0,0,23,2,2019,0_23_2_2019
0,39.2,0.0,92.1,0,14.0,1028.0,76.0,4.0,0.0,0,23,2,2019,0_23_2_2019
0,45.7,0.0,74.9,0,15.0,1023.0,100.0,0.0,0.0,0,23,9,2018,0_23_9_2018
0,45.7,0.0,74.9,0,15.0,1023.0,100.0,0.0,0.0,0,23,9,2018,0_23_9_2018
0,40.8,2.8,76.8,0,14.0,1020.0,93.0,3.0,2.0,0,23,9,2019,0_23_9_2019
0,40.8,2.8,76.8,0,14.0,1020.0,93.0,3.0,3.0,0,23,9,2019,0_23_9_2019
0,42.8,1.2,85.7,0,15.0,1025.0,59.0,3.0,0.0,0,24,10,2018,0_24_10_2018
0,42.8,1.2,85.7,0,15.0,1025.0,59.0,3.0,0.0,0,24,10,2018,0_24_10_2018
0,39.1,0.0,72.0,0,13.0,1018.0,93.0,6.0,3.0,0,24,1,2019,0_24_1_2019
0,39.1,0.0,72.0,0,13.0,1018.0,93.0,6.0,3.0,0,24,1,2019,0_24_1_2019
2,34.8,60.6,87.6,0,16.0,1014.0,100.0,1.0,2.0,0,24,6,2019,0_24_6_2019
2,34.8,60.6,87.6,0,16.0,1014.0,100.0,1.0,3.0,0,24,6,2019,0_24_6_2019
1,44.3,9.9,72.7,0,19.0,1018.0,100.0,1.0,3.0,0,24,8,2019,0_24_8_2019
1,44.3,9.9,72.7,0,19.0,1018.0,100.0,1.0,3.0,0,24,8,2019,0_24_8_2019
0,44.5,0.0,85.0,0,16.0,1022.0,93.0,0.0,0.0,0,24,9,2018,0_24_9_2018
0,44.5,0.0,85.0,0,16.0,1022.0,93.0,0.0,0.0,0,24,9,2018,0_24_9_2018
1,40.8,1.0,85.3,0,16.0,1020.0,88.0,7.0,2.0,0,24,9,2019,0_24_9_2019
1,40.8,1.0,85.3,0,16.0,1020.0,88.0,7.0,3.0,0,24,9,2019,0_24_9_2019
0,43.9,0.0,87.9,0,10.0,1021.0,93.0,0.0,0.0,0,25,10,2018,0_25_10_2018
0,43.9,0.0,87.9,0,10.0,1021.0,93.0,0.0,0.0,0,25,10,2018,0_25_10_2018
0,41.5,0.0,88.8,0,10.0,1029.0,81.0,0.0,0.0,0,25,2,2019,0_25_2_2019
0,41.5,0.0,88.8,0,10.0,1029.0,81.0,0.0,0.0,0,25,2,2019,0_25_2_2019
1,44.4,8.3,75.3,0,10.0,1004.0,71.0,5.0,2.0,0,25,4,2019,0_25_4_2019
1,44.4,8.3,75.3,0,10.0,1004.0,71.0,5.0,2.0,0,25,4,2019,0_25_4_2019
0,38.9,0.0,85.7,0,18.0,1016.0,93.0,0.0,3.0,0,25,7,2018,0_25_7_2018
0,38.9,0.0,85.7,0,18.0,1016.0,93.0,0.0,1.0,0,25,7,2018,0_25_7_2018
0,37.3,0.9,84.7,0,19.0,1014.0,94.0,1.0,3.0,0,25,7,2019,0_25_7_2019
0,37.3,0.9,84.7,0,19.0,1014.0,94.0,1.0,3.0,0,25,7,2019,0_25_7_2019
0,40.0,0.0,88.8,0,15.0,1018.0,93.0,0.0,0.0,0,25,8,2018,0_25_8_2018
0,40.0,0.0,88.8,0,15.0,1018.0,93.0,0.0,0.0,0,25,8,2018,0_25_8_2018
1,41.9,3.7,73.3,0,6.0,1020.0,93.0,0.0,0.0,0,26,1,2019,0_26_1_2019
1,41.9,3.7,73.3,0,6.0,1020.0,93.0,0.0,0.0,0,26,1,2019,0_26_1_2019
0,37.4,0.0,92.5,0,12.0,1026.0,71.0,1.0,0.0,0,26,2,2019,0_26_2_2019
0,37.4,0.0,92.5,0,12.0,1026.0,71.0,1.0,0.0,0,26,2,2019,0_26_2_2019
1,46.8,3.4,61.4,0,17.0,1015.0,93.0,3.0,3.0,0,26,6,2019,0_26_6_2019
1,46.8,3.4,61.4,0,17.0,1015.0,93.0,3.0,2.0,0,26,6,2019,0_26_6_2019
0,43.6,2.7,82.8,0,15.0,1015.0,82.0,3.0,0.0,0,26,8,2018,0_26_8_2018
0,43.6,2.7,82.8,0,15.0,1015.0,82.0,3.0,0.0,0,26,8,2018,0_26_8_2018
0,46.4,0.0,82.2,0,18.0,1018.0,60.0,3.0,0.0,0,26,9,2018,0_26_9_2018
0,46.4,0.0,82.2,0,18.0,1018.0,60.0,3.0,0.0,0,26,9,2018,0_26_9_2018
0,47.0,0.0,75.2,0,15.0,1021.0,100.0,1.0,3.0,0,26,9,2019,0_26_9_2019
0,47.0,0.0,75.2,0,15.0,1021.0,100.0,1.0,3.0,0,26,9,2019,0_26_9_2019
0,46.4,0.0,87.3,0,13.0,1014.0,82.0,4.0,0.0,0,27,10,2018,0_27_10_2018
0,46.4,0.0,87.3,0,13.0,1014.0,82.0,4.0,0.0,0,27,10,2018,0_27_10_2018
0,35.5,5.4,75.0,0,7.0,1024.0,87.0,4.0,0.0,0,27,11,2018,0_27_11_2018
0,35.5,5.4,75.0,0,7.0,1024.0,87.0,4.0,0.0,0,27,11,2018,0_27_11_2018
1,37.2,3.0,66.9,0,11.0,1020.0,87.0,4.0,3.0,0,27,1,2019,0_27_1_2019
1,37.2,3.0,66.9,0,11.0,1020.0,87.0,4.0,4.0,0,27,1,2019,0_27_1_2019
0,41.4,0.0,89.1,0,14.0,1024.0,71.0,2.0,0.0,0,27,2,2019,0_27_2_2019
0,41.4,0.0,89.1,0,14.0,1024.0,71.0,2.0,0.0,0,27,2,2019,0_27_2_2019
0,39.7,0.0,69.7,0,17.0,1016.0,93.0,1.0,2.0,0,27,6,2019,0_27_6_2019
0,39.7,0.0,69.7,0,17.0,1016.0,93.0,1.0,3.0,0,27,6,2019,0_27_6_2019
0,46.1,0.0,87.4,0,16.0,1016.0,93.0,0.0,0.0,0,27,7,2018,0_27_7_2018
0,46.1,0.0,87.4,0,16.0,1016.0,93.0,0.0,0.0,0,27,7,2018,0_27_7_2018
0,45.3,0.0,85.1,0,20.0,1024.0,88.0,0.0,0.0,0,27,9,2018,0_27_9_2018
0,45.3,0.0,85.1,0,20.0,1024.0,88.0,0.0,0.0,0,27,9,2018,0_27_9_2018
2,46.0,5.2,81.6,0,7.0,1010.0,75.0,4.0,0.0,0,28,10,2018,0_28_10_2018
2,46.0,5.2,81.6,0,7.0,1010.0,75.0,4.0,0.0,0,28,10,2018,0_28_10_2018
0,38.3,7.7,75.7,0,12.0,1022.0,81.0,3.0,3.0,0,28,11,2018,0_28_11_2018
0,38.3,7.7,75.7,0,12.0,1022.0,81.0,3.0,3.0,0,28,11,2018,0_28_11_2018
0,42.0,0.0,75.0,0,8.0,1025.0,87.0,1.0,0.0,0,28,1,2019,0_28_1_2019
0,42.0,0.0,75.0,0,8.0,1025.0,87.0,1.0,3.0,0,28,1,2019,0_28_1_2019
0,37.4,6.3,88.4,0,9.0,1031.0,100.0,1.0,0.0,0,28,2,2019,0_28_2_2019
0,37.4,6.3,88.4,0,9.0,1031.0,100.0,1.0,0.0,0,28,2,2019,0_28_2_2019
0,43.8,0.0,82.1,0,15.0,1017.0,93.0,0.0,0.0,0,28,7,2018,0_28_7_2018
0,43.8,0.0,82.1,0,15.0,1017.0,93.0,0.0,0.0,0,28,7,2018,0_28_7_2018
1,46.0,3.6,73.9,0,17.0,1018.0,100.0,2.0,3.0,0,28,8,2019,0_28_8_2019
1,46.0,3.6,73.9,0,17.0,1018.0,100.0,2.0,3.0,0,28,8,2019,0_28_8_2019
0,42.1,4.5,88.7,0,18.0,1024.0,93.0,1.0,0.0,0,28,9,2018,0_28_9_2018
0,42.1,4.5,88.7,0,18.0,1024.0,93.0,1.0,0.0,0,28,9,2018,0_28_9_2018
0,40.9,11.5,87.0,0,9.0,1013.0,70.0,4.0,0.0,0,29,10,2018,0_29_10_2018
0,40.9,11.5,87.0,0,9.0,1013.0,70.0,4.0,1.0,0,29,10,2018,0_29_10_2018
0,43.9,0.0,71.2,0,11.0,1019.0,82.0,8.0,2.0,0,29,11,2018,0_29_11_2018
0,43.9,0.0,71.2,0,11.0,1019.0,82.0,8.0,2.0,0,29,11,2018,0_29_11_2018
0,42.5,0.0,89.6,0,16.0,1019.0,100.0,4.0,3.0,0,29,8,2018,0_29_8_2018
0,42.5,0.0,89.6,0,16.0,1019.0,100.0,4.0,3.0,0,29,8,2018,0_29_8_2018
0,42.8,0.0,83.2,0,16.0,1019.0,100.0,2.0,2.0,0,29,8,2019,0_29_8_2019
0,42.8,0.0,83.2,0,16.0,1019.0,100.0,2.0,3.0,0,29,8,2019,0_29_8_2019
0,43.5,2.5,86.0,0,15.0,1018.0,100.0,1.0,3.0,0,29,9,2018,0_29_9_2018
0,43.5,2.5,86.0,0,15.0,1018.0,100.0,1.0,0.0,0,29,9,2018,0_29_9_2018
1,43.5,1.1,86.5,0,15.0,1020.0,55.0,2.0,0.0,0,2,10,2018,0_2_10_2018
1,43.5,1.1,86.5,0,15.0,1020.0,55.0,2.0,0.0,0,2,10,2018,0_2_10_2018
2,36.1,18.5,82.9,0,13.0,1024.0,93.0,4.0,3.0,0,2,12,2018,0_2_12_2018
2,36.1,18.5,82.9,0,13.0,1024.0,93.0,4.0,3.0,0,2,12,2018,0_2_12_2018
0,41.6,0.0,76.1,0,11.0,1017.0,87.0,0.0,0.0,0,2,4,2019,0_2_4_2019
0,41.6,0.0,76.1,0,11.0,1017.0,87.0,0.0,0.0,0,2,4,2019,0_2_4_2019
1,43.7,6.0,86.9,0,22.0,1012.0,57.0,1.0,0.0,0,2,9,2018,0_2_9_2018
1,43.7,6.0,86.9,0,22.0,1012.0,57.0,1.0,0.0,0,2,9,2018,0_2_9_2018
0,37.5,8.0,85.6,0,8.0,1018.0,93.0,1.0,1.0,0,30,1,2019,0_30_1_2019
0,37.5,8.0,85.6,0,8.0,1018.0,93.0,1.0,1.0,0,30,1,2019,0_30_1_2019
0,42.7,0.0,79.3,0,19.0,1020.0,82.0,2.0,3.0,0,30,7,2018,0_30_7_2018
0,42.7,0.0,79.3,0,19.0,1020.0,82.0,2.0,0.0,0,30,7,2018,0_30_7_2018
0,45.3,3.6,86.8,0,14.0,1020.0,93.0,1.0,0.0,0,30,8,2018,0_30_8_2018
0,45.3,3.6,86.8,0,14.0,1020.0,93.0,1.0,0.0,0,30,8,2018,0_30_8_2018
0,51.5,0.7,66.1,0,16.0,1020.0,100.0,1.0,2.0,0,30,8,2019,0_30_8_2019
0,51.5,0.7,66.1,0,16.0,1020.0,100.0,1.0,3.0,0,30,8,2019,0_30_8_2019
0,40.8,2.7,82.8,0,15.0,1016.0,100.0,0.0,0.0,0,30,9,2018,0_30_9_2018
0,40.8,2.7,82.8,0,15.0,1016.0,100.0,0.0,3.0,0,30,9,2018,0_30_9_2018
0,43.5,0.0,76.5,0,18.0,1019.0,93.0,2.0,3.0,0,30,9,2019,0_30_9_2019
0,43.5,0.0,76.5,0,18.0,1019.0,93.0,2.0,3.0,0,30,9,2019,0_30_9_2019
0,41.5,0.0,75.6,0,12.0,1015.0,71.0,0.0,0.0,0,31,3,2019,0_31_3_2019
0,41.5,0.0,75.6,0,12.0,1015.0,71.0,0.0,0.0,0,31,3,2019,0_31_3_2019
0,44.2,2.9,82.1,0,20.0,1020.0,100.0,1.0,0.0,0,31,7,2018,0_31_7_2018
0,44.2,2.9,82.1,0,20.0,1020.0,100.0,1.0,3.0,0,31,7,2018,0_31_7_2018
0,45.3,1.9,82.4,0,14.0,1017.0,87.0,1.0,0.0,0,31,8,2018,0_31_8_2018
