AVERAGE_SPEED_DIFF,AVERAGE_FREE_FLOW_SPEED,AVERAGE_TIME_DIFF,AVERAGE_FREE_FLOW_TIME,LUMINOSITY,AVERAGE_TEMPERATURE,AVERAGE_ATMOSP_PRESSURE,AVERAGE_HUMIDITY,AVERAGE_WIND_SPEED,AVERAGE_CLOUDINESS,HOUR,DAY,MONTH,YEAR,AVERAGE_RAIN,IS_STORMY
1,48.2,1.4,82.9,0,11,1016,66,8,1,6,27,10,2018,250,0
4,46,131.7,61.5,2,16,1015,100,3,4,8,19,6,2019,250,0
3,39,41.3,79,2,7,1021,100,1,1,10,25,1,2019,250,0
2,40.6,19.9,87.6,2,20,1019,82,4,4,13,12,8,2018,250,0
3,42.9,63.6,85.6,2,20,1018,73,2,1,18,13,9,2018,250,0
0,47.4,0,85.9,0,9,1016,87,1,1,6,5,10,2018,250,0
0,39.1,0,72,0,13,1018,93,6,4,0,24,1,2019,250,0
3,40.2,31.3,88.9,1,14,1029,76,1,5,18,27,2,2019,250,0
2,43.1,7.6,66.5,1,9,1024,87,2,6,6,26,4,2019,300,0
0,47.3,0,89.4,0,15,1014,88,2,1,6,1,9,2018,250,0
2,37.4,30.6,90,2,19,1016,77,0,4,10,25,7,2018,250,0
4,44.3,111.9,86.4,2,5,1029,66,5,1,9,13,2,2019,250,0
0,38.9,2.5,69.5,0,12,1021,87,2,2,20,11,4,2019,250,0
0,45,0,80.6,0,14,1015,87,1,1,2,26,8,2018,250,0
2,37.4,20.6,76.5,2,21,1016,72,2,6,13,25,6,2019,250,0
0,37.6,1.9,84.9,0,18,1019,67,2,1,20,1,10,2018,900,0
3,44.5,78.7,85,1,17,1017,67,0,4,17,25,10,2018,250,0
3,45.3,38.8,87,2,30,1013,43,3,1,18,2,8,2018,700,0
2,32.9,24.1,88.8,2,21,1013,88,4,4,10,3,7,2019,250,0
1,33.7,7,70.8,2,15,1016,67,4,3,13,18,5,2019,250,0
1,40.7,3.6,83.4,2,14,1012,55,3,2,9,31,3,2019,250,0
3,44.5,43.3,81.3,1,20,1021,82,5,1,18,21,9,2018,250,0
1,34.9,7.9,92.3,0,18,1016,93,2,6,23,6,7,2019,250,0
0,35,5.9,77.1,0,7,1020,93,2,4,21,15,1,2019,250,0
2,39.4,33.4,88.6,2,22,1017,69,2,1,11,1,8,2018,900,0
3,41,81.3,83.5,2,20,1020,77,1,4,18,29,9,2019,250,0
0,47.9,0,71.6,0,10,1019,81,6,5,22,28,11,2018,250,0
2,39.6,11,82.9,2,13,1011,93,9,6,11,6,11,2018,250,0
2,39.6,35.9,88.3,2,19,1020,68,7,1,18,29,8,2018,250,0
0,48.3,0,77.2,0,17,1009,82,4,4,3,21,9,2019,250,0
0,44.2,0,82,0,8,1012,100,1,5,6,12,11,2018,250,0
3,37.8,45.4,65.4,2,17,1016,82,1,3,9,17,6,2019,250,0
1,32.8,15.2,83,2,21,1016,93,3,4,13,15,7,2019,250,0
0,43.1,0,71.3,0,16,1018,93,1,4,3,3,6,2019,250,0
0,43.6,4.3,76.9,0,16,1017,93,1,1,22,13,8,2018,250,0
0,42.1,0,75.9,0,9,1022,54,6,1,1,11,12,2018,250,0
2,41.1,13.9,75.1,2,12,1004,87,3,2,7,22,4,2019,700,0
0,37.2,2.4,68.3,0,8,1032,100,0,4,2,9,12,2018,250,0
2,42.8,10.5,82,2,17,1014,82,2,3,13,26,10,2018,250,0
2,34.1,27.2,83.2,2,22,1015,73,4,6,11,4,7,2019,250,0
1,36.9,8.6,87.2,2,28,1016,65,2,1,14,5,8,2018,250,0
3,39.9,47.6,72.9,2,18,1018,68,4,6,18,22,5,2019,700,0
3,38.4,99.3,80.3,2,20,1015,46,3,6,16,19,4,2019,700,0
1,33.6,16.9,103.8,2,16,1022,82,7,4,14,3,3,2019,250,0
0,43,4.8,82.7,0,17,1019,88,2,1,22,21,10,2018,250,0
2,37.4,30.6,91.6,2,20,1016,77,2,1,11,6,9,2018,250,0
3,51.1,35.3,65.8,0,17,1014,100,0,6,23,23,6,2019,250,0
1,37,7.5,68.6,0,16,1014,100,3,4,22,14,4,2019,700,0
1,47.3,1.2,73.2,0,5,1024,93,2,1,3,21,1,2019,250,0
0,42.1,5.5,88.7,0,17,1015,77,7,5,5,12,10,2018,250,0
0,44.5,0,85,0,14,1022,100,0,1,2,23,9,2018,250,0
2,38.2,15.4,66.1,2,23,1019,73,3,6,13,1,7,2019,900,0
1,40.3,9.7,72.3,0,15,1019,82,5,6,21,10,6,2019,250,0
2,32.8,23.6,84.3,2,20,1017,48,2,6,13,30,3,2019,250,0
2,35.2,34.4,81.2,2,19,1017,88,4,4,12,19,6,2019,250,0
0,41.8,0,74.8,0,8,1015,87,2,2,3,3,4,2019,700,0
0,41.6,0,76.2,0,7,1020,93,4,4,23,15,1,2019,250,0
0,39,4.4,92.1,0,3,1029,100,1,1,6,11,2,2019,250,0
2,34.6,21.2,81.2,0,13,1019,87,1,2,19,12,4,2019,250,0
0,35.3,6.6,78.1,2,14,986,86,1,4,13,19,11,2018,250,0
0,35,3.4,87.4,0,18,1016,100,1,4,1,14,7,2019,250,0
0,41.8,2.1,82.1,0,15,1016,87,2,1,20,5,10,2018,250,0
3,40.8,66.4,82.2,2,20,1016,100,6,4,10,9,8,2019,250,0
0,40.6,0,87.6,0,18,1013,88,1,1,2,2,8,2018,900,0
0,36.3,2.3,94,2,11,1030,66,5,1,10,23,2,2019,700,0
4,46.1,90.9,75.8,0,13,1020,82,4,4,18,28,11,2018,250,0
1,32.2,15.1,87.1,2,19,1012,48,3,2,13,31,3,2019,250,0
1,34.6,8.7,75.9,2,19,1017,72,3,6,12,22,9,2019,700,0
1,44.4,7.3,75.5,0,18,1016,88,4,1,21,16,8,2018,250,0
2,35.3,15,94,2,10,1021,61,5,5,12,2,2,2019,900,0
0,40.9,0,89.3,0,15,1021,100,0,1,5,24,9,2018,250,0
2,35.7,19.2,82.9,2,15,1015,67,2,3,11,7,11,2018,250,0
2,37.5,43.4,90.9,2,27,1017,58,4,1,11,3,8,2018,250,0
2,37.4,23,89.3,2,27,1022,16,2,1,13,3,10,2018,250,0
0,44.9,0,84.6,0,15,1017,87,3,1,5,17,8,2018,250,0
2,35.3,22.1,80.8,2,16,1013,72,6,6,19,13,6,2019,250,0
2,39.3,23.7,87.3,2,14,1020,67,5,3,15,20,1,2019,700,0
1,42.7,11,87.9,2,21,1019,60,2,5,11,29,7,2018,250,0
1,43.7,6,86.9,0,22,1012,57,1,1,0,2,9,2018,250,0
3,42.1,43.9,89.1,2,29,1016,48,2,1,17,3,8,2018,250,0
1,41.3,7.4,86.4,0,21,1018,73,7,4,21,12,10,2018,250,0
2,38.5,55,88.4,2,22,1011,60,5,5,14,13,10,2018,250,0
1,40.4,11.2,87.4,2,22,1019,69,3,1,13,24,8,2018,250,0
1,40.7,7.3,81.1,0,17,1021,93,3,6,0,11,8,2019,250,0
1,47.8,3.8,66.1,0,11,1021,93,3,6,1,27,1,2019,700,0
3,42.8,98.1,85.7,2,21,1017,73,4,1,15,16,8,2018,250,0
2,49.3,2.3,72.9,0,13,1017,81,7,4,6,26,11,2018,250,0
3,41.4,47.8,76.2,2,14,1013,76,5,5,16,23,11,2018,700,0
2,46.4,16.2,80.4,2,18,1021,82,2,6,9,11,8,2019,250,0
2,37.9,20.7,86.8,2,22,1014,61,3,1,13,7,9,2018,250,0
2,40,21.8,88.8,0,26,1016,50,3,1,20,18,8,2018,250,0
3,41.6,61.5,90.7,0,18,1013,68,5,5,18,11,10,2018,700,0
1,39.3,4.6,83.2,2,28,1016,37,4,1,18,19,8,2018,250,0
0,44,0.8,85.5,0,16,1020,77,2,1,4,22,10,2018,250,0
0,42.1,0,76.4,0,6,1023,93,3,1,6,27,11,2018,250,0
4,44.9,228.5,84.6,2,9,1004,76,2,1,8,10,10,2018,700,0
2,34,9.6,61.8,2,12,1016,81,1,4,9,18,5,2019,250,0
1,45.8,32.2,84.7,0,19,1017,68,1,1,0,21,10,2018,250,0
0,44.2,0,86.2,0,18,1014,77,0,1,1,21,8,2018,250,0
0,38.9,0,92.4,0,11,1019,76,3,3,23,4,3,2019,250,0
0,33.1,3.7,73.5,0,13,1001,93,1,5,1,20,11,2018,700,0
1,37.6,19,92.5,2,22,1014,64,3,5,10,8,9,2018,250,0
3,31.9,106.5,76.3,2,14,1012,87,4,6,9,18,4,2019,700,0
0,41.5,0,76.1,0,14,1019,87,3,6,0,6,5,2019,250,0
4,42.8,132,81.1,2,19,1021,88,3,6,18,27,9,2019,250,0
1,37.6,21.8,92.5,2,18,1012,100,3,4,9,3,9,2018,250,0
4,47.2,67.4,78.3,2,8,1029,58,5,1,8,25,2,2019,250,0
0,42.5,0,85.9,0,11,1021,100,1,6,5,27,9,2019,250,0
0,38.1,6.6,75.3,0,9,1025,87,1,4,1,28,1,2019,250,0
0,38.9,1,70.4,0,11,1013,87,1,2,3,31,3,2019,250,0
0,47,0,71.4,0,6,1016,93,3,3,6,19,1,2019,250,0
4,38.4,140.7,82.9,2,22,1017,88,1,6,17,16,9,2019,700,0
3,34.1,128.9,92.7,2,19,1015,72,3,1,16,5,10,2018,700,0
3,35.4,165,93,2,18,1020,51,2,1,17,16,2,2019,700,0
0,45.9,2,86.5,2,19,1018,93,1,4,6,31,7,2018,250,0
2,42.8,25.7,75.6,2,15,1025,63,2,1,11,13,11,2018,250,0
0,43.9,6.1,81.1,0,13,1021,93,0,4,20,3,11,2018,250,0
3,32.4,47.2,84,2,18,1014,93,2,4,17,14,4,2019,250,0
2,37.7,29.3,89,2,22,1017,78,2,6,11,17,8,2019,250,0
0,47.2,0,78.9,0,13,1016,93,0,5,2,6,10,2018,250,0
0,38.4,0,83.9,2,24,1018,31,3,1,9,19,8,2018,250,0
0,47.5,0,86.1,0,15,1018,93,2,4,5,29,7,2018,250,0
2,34.4,36.5,78.5,2,14,1017,71,6,3,10,17,5,2019,250,0
3,36.2,69.6,87.2,2,23,1018,78,3,4,15,28,8,2019,250,0
2,39.6,36,87.8,2,20,1015,64,3,1,11,19,10,2018,250,0
2,40.1,21.9,84.1,0,12,1019,81,5,5,19,18,2,2019,250,0
0,38.5,2.5,91.5,0,13,1020,100,2,3,5,23,9,2019,250,0
0,44.5,1.2,87,0,19,1019,38,4,1,2,26,9,2018,250,0
0,41.8,0,75.2,0,11,1023,87,2,3,21,28,1,2019,700,0
2,37.2,31.6,82.7,2,21,1023,77,1,4,12,27,9,2019,250,0
2,34.4,36,78.2,2,22,1018,77,3,6,15,27,6,2019,250,0
1,32.9,7.6,69.3,2,16,1014,93,7,6,19,7,5,2019,250,0
0,42.8,0,85.9,0,17,1018,93,1,4,3,30,9,2019,250,0
0,32.9,9,88.2,0,9,1024,76,1,1,0,16,2,2019,250,0
0,45.1,3.1,84.5,0,20,1016,68,5,1,2,13,10,2018,250,0
1,41.6,17.4,96.4,2,21,1018,83,0,6,9,17,8,2019,250,0
0,46.5,1.4,86.5,0,13,1021,71,3,1,0,7,10,2018,250,0
0,39.9,0,80.3,0,8,1011,93,1,5,7,25,11,2018,250,0
2,50.1,11.2,78.5,0,11,1029,100,1,6,22,28,2,2019,250,0
3,36.8,70.2,78.8,2,17,1020,77,2,2,14,12,4,2019,250,0
2,46.2,3.7,83.8,1,7,1014,100,3,3,7,12,11,2018,250,0
0,41.6,0,76,0,11,1022,81,3,3,1,26,4,2019,250,0
0,41.4,0,62,0,19,1016,93,2,6,21,26,6,2019,250,0
1,47,5,80.8,0,8,1028,81,1,1,3,24,2,2019,250,0
1,41.2,1.6,86.1,0,12,1024,76,2,1,2,27,2,2019,250,0
1,44.3,12.4,95.3,1,14,1020,100,3,3,6,11,8,2019,250,0
0,40.1,0,90.7,0,16,1017,93,2,5,3,13,8,2018,250,0
3,35,70.6,82.6,2,18,1015,59,6,3,13,19,4,2019,250,0
1,38.6,2.4,71.7,1,15,1019,82,6,6,20,10,6,2019,250,0
2,33.1,27.5,92.7,2,10,1031,53,2,1,12,4,2,2019,250,0
0,41.9,5,86.6,0,16,1020,93,3,4,2,29,8,2018,250,0
1,40.3,4.8,60.4,0,15,1018,100,1,6,1,21,6,2019,250,0
2,34.6,23.3,76.9,2,17,1021,72,2,6,11,9,6,2019,250,0
4,44.3,159.3,77.5,2,20,1018,82,3,6,9,16,9,2019,250,0
3,37.1,39.1,90.1,2,27,1020,26,2,1,15,3,10,2018,250,0
2,36.1,37,83.8,2,24,1017,68,4,6,15,5,7,2019,250,0
1,34.3,17.5,90.9,2,10,1030,53,1,1,13,3,2,2019,250,0
1,38.2,3.2,64.1,0,15,1018,93,1,4,23,20,6,2019,700,0
1,45.3,13.9,81.3,0,14,1015,100,1,6,5,25,8,2019,250,0
2,43.2,21.6,76.7,2,19,1016,88,1,4,10,25,8,2019,250,0
1,40.4,4.5,87.4,0,21,1014,83,0,1,21,21,8,2018,700,0
0,43.7,0,88.3,2,20,1018,72,3,4,6,30,7,2018,250,0
0,40.8,4.4,82.4,0,17,1019,93,2,1,20,21,10,2018,700,0
1,42.7,20.7,81.7,0,17,1022,100,0,1,23,21,9,2018,250,0
0,43.8,0.8,80.9,0,17,1017,68,1,1,5,21,10,2018,250,0
2,48.1,5.5,75.5,0,3,1026,100,1,5,7,6,2,2019,250,0
1,36.8,6.8,76.4,0,19,1016,100,1,4,22,14,7,2019,700,0
3,35,39.5,79.1,2,17,1016,67,7,2,16,2,4,2019,900,0
3,40.8,42.1,91.7,0,13,1028,71,2,1,18,5,2,2019,250,0
2,36.4,25,96.7,2,28,1017,83,2,6,13,22,7,2019,700,0
0,42.8,0,71.5,0,13,1014,87,3,6,4,16,5,2019,250,0
0,44.4,0,87,0,11,1019,81,5,3,21,4,3,2019,250,0
0,41.5,4.5,85.4,0,12,1020,100,1,6,3,29,9,2019,250,0
0,40.2,0,68,0,13,1015,100,2,6,5,22,6,2019,250,0
0,40.8,1,86,1,12,1014,87,5,4,7,4,11,2018,250,0
0,42.4,0,83.3,0,17,1013,100,5,4,1,3,7,2019,250,0
1,37.9,15.8,88.8,2,16,1015,77,0,3,11,26,10,2018,250,0
0,45.5,0,86.2,0,19,1025,48,4,1,3,24,10,2018,250,0
3,36.8,65,91.5,2,21,1015,77,3,3,17,8,8,2018,250,0
4,43.3,78.8,85.7,2,11,1018,62,1,1,7,4,10,2018,250,0
2,31.9,30.4,96.4,2,10,1018,93,3,3,11,18,2,2019,250,0
1,46.7,18.4,89.5,0,19,1014,100,2,4,3,18,8,2019,250,0
2,35.3,28.5,87.7,1,15,1011,67,0,2,19,16,4,2019,250,0
1,37.6,8.5,81.8,0,10,1024,87,3,1,20,21,1,2019,700,0
1,38.9,15.5,88.4,0,19,1015,68,1,1,21,31,8,2018,250,0
0,38.7,0,65.7,0,8,1020,100,0,2,2,12,4,2019,250,0
3,39.6,51,88.3,2,17,1022,100,1,3,10,28,9,2018,250,0
0,43.1,7.7,86.9,0,16,1021,93,1,6,1,11,8,2019,250,0
1,40.6,13.6,87.6,0,24,1014,61,2,1,21,2,8,2018,900,0
0,42.1,1,72.2,0,10,1001,62,4,4,22,23,4,2019,700,0
4,41.7,110.1,75.2,2,11,1021,87,2,2,8,12,4,2019,250,0
0,41.7,2.8,87,0,16,1016,100,1,6,3,7,7,2019,250,0
3,34.1,73.9,87.5,2,23,1017,94,4,4,15,23,7,2019,250,0
0,39.5,0,78.6,0,16,1017,93,2,3,21,20,6,2019,700,0
0,42.1,0,73.9,0,11,1019,100,7,6,2,30,4,2019,250,0
0,41.5,0,76.1,0,11,1016,87,0,2,2,2,4,2019,900,0
4,41.4,131.2,77.1,2,18,1013,100,1,4,8,8,7,2019,250,0
2,37.2,31.6,91,2,21,1017,83,5,3,11,26,7,2018,250,0
0,38.2,2.8,83.9,2,20,1015,77,2,1,10,15,8,2018,250,0
0,44,0,88.7,0,22,1014,78,1,1,1,3,8,2018,250,0
1,38.1,12.9,74.5,0,11,1002,81,4,6,20,24,4,2019,250,0
1,37.4,19,88.4,2,14,1021,71,4,3,12,26,11,2018,250,0
4,46.5,106.6,71.4,1,16,1013,93,0,4,7,20,9,2019,250,0
2,34.8,26.8,87.1,2,23,1015,83,5,3,16,13,7,2019,250,0
2,38.2,41.8,85.3,2,17,1022,88,1,4,10,25,9,2019,250,0
2,43,40.6,88.8,1,17,1015,82,2,1,18,5,10,2018,700,0
0,42.1,0,75.1,0,2,1022,93,0,3,5,18,1,2019,250,0
2,34.2,35.9,92.5,1,12,1005,87,1,5,17,31,10,2018,250,0
1,40,7.7,87.9,2,25,1018,50,4,1,13,21,10,2018,700,0
0,48.3,0,78.6,0,12,1020,100,1,3,4,26,9,2019,250,0
1,40.9,27.5,87.3,0,17,1013,93,2,1,4,7,9,2018,250,0
0,37.3,3.4,89,0,12,1027,62,2,1,23,25,2,2019,250,0
0,45.3,0.7,87,0,14,1015,100,1,3,5,8,8,2018,250,0
1,43.9,5.1,84.6,0,15,1018,100,3,4,1,29,9,2018,250,0
0,39.9,0,77.7,2,10,1019,87,3,2,6,13,4,2019,250,0
4,43.2,77.5,70.7,2,21,1017,72,3,6,17,3,6,2019,250,0
0,40.1,0,66.7,2,15,1016,93,3,4,8,20,6,2019,700,0
2,37,21.5,90.6,2,21,1017,64,1,1,10,31,8,2018,250,0
0,41.8,0,75.1,0,7,1024,100,4,3,3,1,12,2018,250,0
2,36.3,25.9,88.5,2,17,1022,100,1,6,11,28,9,2019,250,0
0,44.6,0.7,68.4,0,15,1024,87,6,4,23,2,12,2018,300,0
2,36.3,25.3,70.1,2,24,1019,73,3,6,14,1,7,2019,900,0
2,39.4,61.8,85.1,2,23,1018,83,2,6,14,16,9,2019,250,0
2,41.4,24.8,90.7,0,16,1018,93,0,1,23,28,7,2018,250,0
2,40.5,32.8,88.3,2,28,1020,14,4,1,15,2,10,2018,900,0
0,44.5,0,85,0,16,1012,100,1,5,5,4,9,2018,250,0
3,33.5,50.1,76.7,2,17,1018,63,3,6,15,5,6,2019,250,0
3,44.7,34.1,85.7,2,26,1015,39,4,1,18,31,8,2018,700,0
0,45.1,0,88.8,2,18,1013,68,3,3,7,8,9,2018,250,0
3,37.3,43.3,90.3,2,20,1012,82,3,5,17,4,9,2018,250,0
0,41.3,0,86.6,0,10,1028,58,5,1,4,25,2,2019,250,0
3,41.9,37.9,86.6,2,20,1020,73,2,1,14,13,9,2018,250,0
1,48.6,18.7,80.7,0,18,1014,100,3,4,5,18,8,2019,250,0
0,37.4,0,94.4,0,10,1017,93,0,1,2,5,10,2018,250,0
0,39.6,6,88.2,0,17,1013,88,3,4,1,4,7,2019,250,0
3,34.9,78.7,91.2,2,23,1016,69,4,5,16,15,8,2018,700,0
1,41.1,9.3,83.3,2,22,1019,69,5,3,13,31,7,2018,250,0
2,39.6,39.6,88.3,2,20,1011,45,6,1,10,9,10,2018,250,0
2,33.1,39.6,92.3,2,20,1017,88,4,4,11,5,7,2019,250,0
0,41.4,0,76.3,1,15,1018,59,2,2,6,20,4,2019,700,0
0,41.3,0,87,0,6,1030,75,1,1,20,3,2,2019,250,0
1,36.6,17.6,70.6,2,14,999,67,6,6,12,24,4,2019,250,0
1,35.1,13.3,83.9,2,19,1011,77,11,3,12,18,6,2019,250,0
0,44.2,0,88.1,0,6,1030,100,0,3,5,28,2,2019,250,0
3,46.1,43.2,85.7,2,23,1019,41,4,1,17,1,10,2018,250,0
0,44.5,0,85,0,16,1022,93,0,1,0,24,9,2018,250,0
1,42.3,5.5,80.6,0,16,1019,93,2,5,21,28,9,2018,250,0
3,33.4,39.7,72.6,2,14,1010,77,9,4,10,6,6,2019,250,0
3,36.1,129.1,80.2,2,13,1022,72,1,6,10,11,4,2019,700,0
2,34.8,23.4,75.1,2,14,1023,82,2,5,15,30,11,2018,250,0
0,38,1.9,85,0,13,1029,76,0,1,21,24,2,2019,250,0
2,44,7.8,64.1,2,13,1014,87,5,6,6,16,5,2019,250,0
0,49.7,0,75,0,14,1023,100,0,1,1,23,9,2018,250,0
1,38.4,3.8,65,1,15,1017,72,2,6,20,5,6,2019,250,0
0,44.5,0.7,85,0,16,1021,93,1,6,6,21,9,2018,250,0
0,41.9,0,76,0,7,1024,93,3,3,7,1,12,2018,250,0
0,44.6,9.5,74.4,0,17,1014,82,5,1,21,11,10,2018,700,0
2,38.8,5.6,67.7,2,16,1016,100,0,4,6,27,6,2019,250,0
2,37.5,14.8,75.9,2,20,1015,93,3,4,12,8,7,2019,250,0
2,39.8,27.3,81.1,2,22,1016,68,6,6,14,27,5,2019,250,0
0,43.3,0,87.9,0,17,1019,52,1,1,5,26,9,2018,250,0
0,43.8,0,87.2,0,12,1010,93,1,4,5,7,11,2018,250,0
1,44.6,3.2,71.6,0,12,1021,100,1,6,3,27,9,2019,250,0
3,42.4,100.9,77.7,2,22,1013,73,4,3,16,20,9,2019,700,0
1,40.9,15.1,87.8,2,29,1017,27,3,1,14,18,8,2018,250,0
2,34.3,23.2,81.7,2,17,1010,72,5,1,11,17,11,2018,250,0
2,34.4,34,80,2,16,1020,67,3,3,12,7,6,2019,250,0
2,41.1,39.4,77.1,2,15,1030,87,2,1,15,9,12,2018,250,0
3,48.8,24.8,70.2,0,18,1018,93,5,6,20,28,8,2019,250,0
1,34,14.5,101.9,0,10,1029,81,1,1,23,23,2,2019,700,0
2,40.3,21.8,78.4,2,21,1021,77,8,3,13,23,9,2019,700,0
2,37.6,32.2,87,2,13,1025,82,2,4,16,7,2,2019,250,0
0,48.5,0,75.2,0,14,1021,100,0,1,0,11,8,2018,250,0
0,42.1,0,75.6,0,12,1017,76,8,4,6,23,1,2019,700,0
0,37.5,5.9,88.8,2,31,1016,52,2,1,12,5,8,2018,250,0
1,33.3,14.9,76.3,2,14,1001,82,2,4,14,20,11,2018,700,0
4,47.9,72.9,68.7,2,13,1030,93,0,3,8,6,12,2018,300,0
2,40.9,30.3,87.3,2,20,1019,82,2,5,13,23,8,2018,700,0
3,40,41.5,88.8,2,24,1019,64,1,1,11,15,9,2018,250,0
0,41.9,0,74,0,15,1013,93,3,4,0,15,4,2019,250,0
3,42.4,16.7,88.3,2,11,1019,100,1,1,7,30,8,2018,250,0
4,37.6,113.3,77.9,2,10,1014,71,5,2,9,3,4,2019,700,0
0,47.6,1.9,80.3,0,9,1015,81,3,5,1,8,11,2018,700,0
2,40,48,88.8,2,24,1018,47,4,1,12,17,8,2018,250,0
2,32.9,25.2,95.3,2,20,1021,73,7,6,12,23,9,2019,700,0
4,45.5,84.7,85.3,2,4,1021,87,2,1,10,19,2,2019,250,0
3,39.6,74.3,89.1,2,18,1015,82,4,1,17,5,10,2018,700,0
0,37.6,21.2,87.7,0,6,1028,66,4,1,4,13,2,2019,250,0
1,33.8,27.2,93.6,2,31,1016,55,2,1,15,3,8,2018,250,0
4,43,97.5,87.5,2,22,1016,88,4,6,18,23,7,2019,250,0
0,37.3,10.2,92.9,2,7,1023,58,5,1,9,16,2,2019,250,0
1,40.9,13.5,86.3,0,13,1024,87,0,4,20,11,12,2018,250,0
3,42.7,48.1,83.8,0,11,1017,81,1,5,18,7,11,2018,250,0
3,40.7,60.2,84.5,2,22,1019,68,2,4,17,29,9,2019,250,0
1,32.6,15.5,102.8,2,15,1029,51,4,1,12,13,2,2019,250,0
0,38.2,1.2,88.9,0,18,1021,93,2,4,2,21,9,2018,700,0
0,48.9,0,83.3,0,16,1015,93,2,1,4,15,8,2018,250,0
0,42.6,0,82.4,0,16,1016,100,2,4,5,5,7,2019,250,0
0,46.8,7.8,86.6,0,15,1020,100,4,6,4,11,8,2019,250,0
3,40.4,36.9,89.3,0,19,1014,82,1,1,19,19,10,2018,250,0
2,36.1,31.1,76.9,2,20,1016,60,5,1,15,14,11,2018,250,0
1,45.7,1.7,76.3,0,17,1014,100,2,4,4,17,7,2019,250,0
1,35.9,18.9,92.2,2,24,1016,78,3,6,13,14,7,2019,250,0
0,37.3,2.4,90.8,0,19,1012,88,1,5,20,3,9,2018,250,0
4,42.3,75.7,82.7,2,3,1012,100,0,5,8,29,10,2018,250,0
2,40.2,6.5,63,1,13,1018,76,3,6,6,6,5,2019,250,0
2,41.9,23,77.2,2,20,1019,93,2,4,13,9,9,2019,250,0
0,41.6,0,76,0,12,1010,76,2,2,23,16,4,2019,700,0
0,37.8,0.6,78.9,0,16,1007,77,1,2,21,21,4,2019,700,0
2,37.4,36.3,85.5,2,21,1022,77,1,5,10,21,9,2018,700,0
0,41.8,0,74.3,0,15,1010,87,4,4,3,15,4,2019,250,0
1,43.3,1.2,85.2,0,15,1022,39,6,1,6,23,10,2018,250,0
3,42,86.7,85.4,2,20,1020,82,5,6,17,23,9,2019,250,0
0,41.6,0,85.5,0,8,1017,93,0,5,2,30,1,2019,700,0
4,43.8,72.8,86.3,2,20,1021,60,4,1,17,10,8,2018,250,0
0,42.4,0,81.2,0,17,1021,72,0,1,22,10,9,2018,250,0
3,40.3,24.4,79.7,2,12,1017,100,4,4,14,29,1,2019,250,0
3,33.3,40.3,89.5,2,23,1018,77,3,6,14,5,7,2019,250,0
2,38.7,26.3,97.1,2,15,1027,45,5,1,11,22,2,2019,700,0
1,43,22.3,87.3,0,15,1014,93,9,4,21,9,11,2018,700,0
2,35,24,75.2,2,12,1021,71,4,1,12,25,1,2019,250,0
2,32.8,27.8,99.4,2,17,1024,55,1,1,16,15,2,2019,250,0
1,36.1,10,78.3,1,19,1016,93,2,6,20,14,7,2019,250,0
