AVERAGE_FREE_FLOW_SPEED,AVERAGE_TIME_DIFF,AVERAGE_FREE_FLOW_TIME,AVERAGE_TEMPERATURE,AVERAGE_ATMOSP_PRESSURE,AVERAGE_HUMIDITY,AVERAGE_WIND_SPEED,LUMINOSITY_ORDINAL,ORDINAL_CLOUDINESS,ORDINAL_SPEED_DIFF,Day,month,Year,Hour
41.9,0.0,73.8,14.0,1023.0,100.0,0.0,1,2.0,1,3,12,2018,21
49.6,4.1,86.1,15.0,1021.0,87.0,8.0,1,2.0,1,14,8,2019,1
40.7,3.6,83.4,14.0,1012.0,55.0,3.0,3,2.0,2,31,3,2019,9
40.5,5.0,81.8,14.0,1015.0,100.0,2.0,1,1.0,3,18,9,2019,6
44.5,43.3,81.3,20.0,1021.0,82.0,5.0,2,1.0,4,21,9,2018,18
39.3,22.3,79.0,24.0,1015.0,73.0,4.0,3,6.0,4,9,7,2019,19
36.0,59.6,87.9,25.0,1015.0,82.0,6.0,3,6.0,4,19,7,2019,15
34.9,7.9,92.3,18.0,1016.0,93.0,2.0,1,6.0,2,6,7,2019,23
41.9,0.0,87.0,14.0,1017.0,100.0,1.0,1,4.0,1,14,9,2018,5
44.2,37.5,73.3,11.0,1012.0,87.0,5.0,1,4.0,4,22,11,2018,20
35.0,5.9,77.1,7.0,1020.0,93.0,2.0,1,4.0,1,15,1,2019,21
37.5,60.8,90.4,22.0,1019.0,94.0,3.0,3,1.0,4,30,7,2018,15
39.4,33.4,88.6,22.0,1017.0,69.0,2.0,3,1.0,3,1,8,2018,11
41.0,81.3,83.5,20.0,1020.0,77.0,1.0,3,4.0,4,29,9,2019,18
47.9,0.0,71.6,10.0,1019.0,81.0,6.0,1,5.0,1,28,11,2018,22
41.6,10.9,78.2,16.0,1013.0,77.0,7.0,3,6.0,3,12,6,2019,19
39.6,11.0,82.9,13.0,1011.0,93.0,9.0,3,6.0,3,6,11,2018,11
39.6,35.9,88.3,19.0,1020.0,68.0,7.0,3,1.0,3,29,8,2018,18
40.9,117.7,82.9,24.0,1022.0,49.0,8.0,3,4.0,4,11,9,2019,17
48.3,0.0,77.2,17.0,1009.0,82.0,4.0,1,4.0,1,21,9,2019,3
43.2,2.8,84.3,18.0,1023.0,64.0,2.0,1,5.0,1,13,9,2019,3
41.9,2.0,69.2,12.0,1015.0,76.0,3.0,1,5.0,1,19,5,2019,22
44.2,0.0,82.0,8.0,1012.0,100.0,1.0,1,5.0,1,12,11,2018,6
47.1,0.0,70.9,14.0,1023.0,93.0,6.0,1,3.0,1,3,12,2018,3
37.8,45.4,65.4,17.0,1016.0,82.0,1.0,3,3.0,4,17,6,2019,9
41.3,16.5,81.9,18.0,1021.0,88.0,2.0,3,4.0,3,9,9,2018,14
32.8,15.2,83.0,21.0,1016.0,93.0,3.0,3,4.0,2,15,7,2019,13
43.1,0.0,71.3,16.0,1018.0,93.0,1.0,1,4.0,1,3,6,2019,3
43.6,4.3,76.9,16.0,1017.0,93.0,1.0,1,1.0,1,13,8,2018,22
35.8,1.5,72.3,15.0,1011.0,72.0,3.0,1,1.0,1,3,5,2019,23
42.1,0.0,75.9,9.0,1022.0,54.0,6.0,1,1.0,1,11,12,2018,1
41.1,13.9,75.1,12.0,1004.0,87.0,3.0,3,2.0,3,22,4,2019,7
37.2,2.4,68.3,8.0,1032.0,100.0,0.0,1,4.0,1,9,12,2018,2
42.8,10.5,82.0,17.0,1014.0,82.0,2.0,3,3.0,3,26,10,2018,13
34.1,27.2,83.2,22.0,1015.0,73.0,4.0,3,6.0,3,4,7,2019,11
43.1,0.0,70.1,16.0,1020.0,93.0,2.0,1,1.0,1,22,5,2019,21
36.9,8.6,87.2,28.0,1016.0,65.0,2.0,3,1.0,2,5,8,2018,14
50.8,9.4,87.2,16.0,1020.0,100.0,1.0,1,6.0,2,10,8,2019,5
39.9,47.6,72.9,18.0,1018.0,68.0,4.0,3,6.0,4,22,5,2019,18
41.7,76.7,81.1,29.0,1015.0,48.0,4.0,3,6.0,4,2,9,2019,18
38.0,49.5,91.3,26.0,1020.0,69.0,6.0,3,6.0,4,15,8,2019,14
44.8,13.9,78.1,17.0,1015.0,88.0,3.0,1,6.0,2,23,8,2019,3
39.9,17.7,69.7,23.0,1018.0,73.0,4.0,3,6.0,3,28,6,2019,12
39.2,4.2,71.7,14.0,1008.0,93.0,6.0,1,6.0,1,24,11,2018,21
38.4,99.3,80.3,20.0,1015.0,46.0,3.0,3,6.0,4,19,4,2019,16
44.1,12.8,80.3,20.0,1022.0,68.0,3.0,1,4.0,2,11,9,2019,20
33.6,16.9,103.8,16.0,1022.0,82.0,7.0,3,4.0,2,3,3,2019,14
42.4,3.3,78.4,17.0,1017.0,93.0,2.0,1,1.0,2,14,9,2018,20
43.0,4.8,82.7,17.0,1019.0,88.0,2.0,1,1.0,1,21,10,2018,22
37.4,30.6,91.6,20.0,1016.0,77.0,2.0,3,1.0,3,6,9,2018,11
41.1,132.7,72.7,23.0,1018.0,73.0,5.0,3,6.0,5,1,7,2019,18
51.1,35.3,65.8,17.0,1014.0,100.0,0.0,1,6.0,4,23,6,2019,23
37.0,7.5,68.6,16.0,1014.0,100.0,3.0,1,4.0,2,14,4,2019,22
47.3,1.2,73.2,5.0,1024.0,93.0,2.0,1,1.0,2,21,1,2019,3
36.4,61.0,74.9,30.0,1019.0,32.0,3.0,3,5.0,4,31,5,2019,16
42.1,5.5,88.7,17.0,1015.0,77.0,7.0,1,5.0,1,12,10,2018,5
44.5,0.0,85.0,14.0,1022.0,100.0,0.0,1,1.0,1,23,9,2018,2
44.9,6.2,70.2,20.0,1017.0,72.0,1.0,1,6.0,2,15,9,2019,23
39.5,38.0,88.8,25.0,1016.0,78.0,3.0,3,6.0,4,9,7,2019,15
40.8,19.2,82.4,10.0,1005.0,93.0,3.0,1,6.0,3,29,10,2018,20
38.2,15.4,66.1,23.0,1019.0,73.0,3.0,3,6.0,3,1,7,2019,13
40.3,9.7,72.3,15.0,1019.0,82.0,5.0,1,6.0,2,10,6,2019,21
32.8,23.6,84.3,20.0,1017.0,48.0,2.0,3,6.0,3,30,3,2019,13
35.2,34.4,81.2,19.0,1017.0,88.0,4.0,3,4.0,3,19,6,2019,12
41.8,0.0,74.8,8.0,1015.0,87.0,2.0,1,2.0,1,3,4,2019,3
41.6,0.0,76.2,7.0,1020.0,93.0,4.0,1,4.0,1,15,1,2019,23
39.0,4.4,92.1,3.0,1029.0,100.0,1.0,1,1.0,1,11,2,2019,6
41.8,0.9,61.8,20.0,1021.0,32.0,6.0,3,2.0,2,12,5,2019,9
34.6,21.2,81.2,13.0,1019.0,87.0,1.0,1,2.0,3,12,4,2019,19
35.3,6.6,78.1,14.0,986.0,86.0,1.0,3,4.0,1,19,11,2018,13
35.0,3.4,87.4,18.0,1016.0,100.0,1.0,1,4.0,1,14,7,2019,1
39.4,35.1,88.6,20.0,1017.0,88.0,2.0,3,1.0,3,6,8,2018,11
39.5,36.7,84.1,23.0,1015.0,73.0,1.0,3,1.0,4,10,7,2019,9
41.8,2.1,82.1,15.0,1016.0,87.0,2.0,1,1.0,1,5,10,2018,20
40.8,66.4,82.2,20.0,1016.0,100.0,6.0,3,4.0,4,9,8,2019,10
40.6,0.0,87.6,18.0,1013.0,88.0,1.0,1,1.0,1,2,8,2018,2
36.3,2.3,94.0,11.0,1030.0,66.0,5.0,3,1.0,1,23,2,2019,10
45.6,83.1,73.6,23.0,1017.0,68.0,6.0,3,4.0,5,28,6,2019,17
46.1,90.9,75.8,13.0,1020.0,82.0,4.0,1,4.0,5,28,11,2018,18
32.2,15.1,87.1,19.0,1012.0,48.0,3.0,3,2.0,2,31,3,2019,13
51.3,15.1,88.6,16.0,1018.0,93.0,1.0,1,6.0,2,19,8,2019,0
31.9,10.1,81.3,15.0,1017.0,100.0,4.0,3,6.0,2,14,4,2019,9
34.6,8.7,75.9,19.0,1017.0,72.0,3.0,3,6.0,2,22,9,2019,12
44.4,7.3,75.5,18.0,1016.0,88.0,4.0,1,1.0,2,16,8,2018,21
35.3,15.0,94.0,10.0,1021.0,61.0,5.0,3,5.0,3,2,2,2019,12
45.3,41.8,73.2,18.0,1013.0,93.0,1.0,3,1.0,4,12,7,2019,7
40.9,0.0,89.3,15.0,1021.0,100.0,0.0,1,1.0,1,24,9,2018,5
35.7,19.2,82.9,15.0,1015.0,67.0,2.0,3,3.0,3,7,11,2018,11
37.5,32.4,91.3,26.0,1015.0,57.0,2.0,3,1.0,3,12,7,2019,15
45.1,3.1,63.0,14.0,1017.0,100.0,4.0,1,1.0,2,14,4,2019,5
37.5,43.4,90.9,27.0,1017.0,58.0,4.0,3,1.0,3,3,8,2018,11
37.4,23.0,89.3,27.0,1022.0,16.0,2.0,3,1.0,3,3,10,2018,13
34.1,12.1,75.1,25.0,1017.0,41.0,2.0,2,1.0,3,1,6,2019,20
44.9,0.0,84.6,15.0,1017.0,87.0,3.0,1,1.0,1,17,8,2018,5
35.3,22.1,80.8,16.0,1013.0,72.0,6.0,3,6.0,3,13,6,2019,19
37.2,4.8,88.6,18.0,1024.0,52.0,2.0,1,3.0,1,12,9,2019,4
39.3,23.7,87.3,14.0,1020.0,67.0,5.0,3,3.0,3,20,1,2019,15
37.0,22.3,91.1,18.0,1017.0,77.0,0.0,3,5.0,3,16,10,2018,11
40.0,6.8,80.1,15.0,1015.0,100.0,2.0,1,5.0,2,24,7,2019,5
42.7,11.0,87.9,21.0,1019.0,60.0,2.0,3,5.0,2,29,7,2018,11
43.7,6.0,86.9,22.0,1012.0,57.0,1.0,1,1.0,2,2,9,2018,0
42.1,43.9,89.1,29.0,1016.0,48.0,2.0,3,1.0,4,3,8,2018,17
41.3,7.4,86.4,21.0,1018.0,73.0,7.0,1,4.0,2,12,10,2018,21
51.6,0.0,75.3,19.0,1018.0,43.0,4.0,1,5.0,1,6,9,2019,2
42.0,0.0,74.0,7.0,1028.0,87.0,1.0,1,5.0,1,27,4,2019,4
38.5,55.0,88.4,22.0,1011.0,60.0,5.0,3,5.0,3,13,10,2018,14
40.4,11.2,87.4,22.0,1019.0,69.0,3.0,3,1.0,2,24,8,2018,13
40.7,7.3,81.1,17.0,1021.0,93.0,3.0,1,6.0,2,11,8,2019,0
40.4,108.1,83.2,10.0,1000.0,93.0,2.0,3,6.0,5,30,10,2018,10
35.4,6.3,80.0,17.0,1019.0,52.0,4.0,1,6.0,2,24,5,2019,23
47.8,3.8,66.1,11.0,1021.0,93.0,3.0,1,6.0,2,27,1,2019,1
42.5,26.2,79.9,26.0,1016.0,41.0,5.0,3,1.0,3,8,9,2019,18
39.8,61.3,76.4,18.0,1019.0,72.0,6.0,2,1.0,3,25,5,2019,20
43.7,20.5,88.1,18.0,1021.0,88.0,3.0,1,1.0,3,10,8,2019,20
42.8,98.1,85.7,21.0,1017.0,73.0,4.0,3,1.0,4,16,8,2018,15
49.3,2.3,72.9,13.0,1017.0,81.0,7.0,1,4.0,3,26,11,2018,6
41.4,47.8,76.2,14.0,1013.0,76.0,5.0,3,5.0,4,23,11,2018,16
38.3,1.1,66.3,16.0,1011.0,77.0,2.0,1,6.0,1,3,5,2019,22
37.4,32.8,76.7,18.0,1014.0,72.0,2.0,3,6.0,4,17,6,2019,17
46.4,16.2,80.4,18.0,1021.0,82.0,2.0,3,6.0,3,11,8,2019,9
35.4,92.1,87.7,22.0,1019.0,64.0,5.0,3,1.0,4,28,4,2019,17
37.9,20.7,86.8,22.0,1014.0,61.0,3.0,3,1.0,3,7,9,2018,13
40.0,21.8,88.8,26.0,1016.0,50.0,3.0,1,1.0,3,18,8,2018,20
41.6,61.5,90.7,18.0,1013.0,68.0,5.0,1,5.0,4,11,10,2018,18
39.3,4.6,83.2,28.0,1016.0,37.0,4.0,3,1.0,2,19,8,2018,18
35.5,24.9,78.3,25.0,1017.0,83.0,3.0,3,1.0,3,23,8,2019,19
38.5,29.9,88.8,27.0,1016.0,28.0,4.0,3,1.0,3,7,9,2019,17
35.2,17.4,93.8,15.0,1017.0,100.0,11.0,1,1.0,2,18,7,2019,3
44.0,0.8,85.5,16.0,1020.0,77.0,2.0,1,1.0,1,22,10,2018,4
45.4,20.3,74.9,20.0,1017.0,93.0,1.0,1,1.0,3,21,8,2019,22
47.9,0.0,71.9,13.0,1000.0,87.0,2.0,1,1.0,1,20,11,2018,6
42.1,0.0,76.4,6.0,1023.0,93.0,3.0,1,1.0,1,27,11,2018,6
44.9,228.5,84.6,9.0,1004.0,76.0,2.0,3,1.0,5,10,10,2018,8
34.0,9.6,61.8,12.0,1016.0,81.0,1.0,3,4.0,3,18,5,2019,9
41.9,0.0,76.2,15.0,1022.0,93.0,1.0,1,1.0,1,27,9,2019,0
37.7,9.2,74.4,13.0,1009.0,100.0,4.0,1,1.0,2,19,1,2019,22
45.8,32.2,84.7,19.0,1017.0,68.0,1.0,1,1.0,2,21,10,2018,0
44.2,0.0,86.2,18.0,1014.0,77.0,0.0,1,1.0,1,21,8,2018,1
38.9,0.0,92.4,11.0,1019.0,76.0,3.0,1,3.0,1,4,3,2019,23
45.1,11.8,89.3,13.0,1021.0,93.0,7.0,1,5.0,2,13,8,2019,3
40.7,106.7,83.0,28.0,1017.0,29.0,4.0,3,5.0,5,5,9,2019,17
33.1,3.7,73.5,13.0,1001.0,93.0,1.0,1,5.0,1,20,11,2018,1
37.6,19.0,92.5,22.0,1014.0,64.0,3.0,3,5.0,2,8,9,2018,10
31.9,106.5,76.3,14.0,1012.0,87.0,4.0,3,6.0,4,18,4,2019,9
41.5,0.0,76.1,14.0,1019.0,87.0,3.0,1,6.0,1,6,5,2019,0
42.8,132.0,81.1,19.0,1021.0,88.0,3.0,3,6.0,5,27,9,2019,18
38.6,22.9,82.9,16.0,1021.0,72.0,3.0,3,4.0,2,10,6,2019,10
37.6,21.8,92.5,18.0,1012.0,100.0,3.0,3,4.0,2,3,9,2018,9
47.2,67.4,78.3,8.0,1029.0,58.0,5.0,3,1.0,5,25,2,2019,8
42.5,0.0,85.9,11.0,1021.0,100.0,1.0,1,6.0,1,27,9,2019,5
38.1,6.6,75.3,9.0,1025.0,87.0,1.0,1,4.0,1,28,1,2019,1
36.3,60.8,94.0,22.0,1015.0,100.0,6.0,3,2.0,4,25,7,2019,11
40.3,65.4,89.3,21.0,1018.0,82.0,6.0,3,2.0,4,28,8,2019,18
40.0,7.1,88.8,21.0,1011.0,77.0,2.0,1,2.0,2,27,8,2018,20
40.9,0.0,87.0,16.0,1020.0,100.0,1.0,3,2.0,1,9,9,2018,8
38.9,1.0,70.4,11.0,1013.0,87.0,1.0,1,2.0,1,31,3,2019,3
47.0,0.0,71.4,6.0,1016.0,93.0,3.0,1,3.0,1,19,1,2019,6
37.3,18.8,90.9,12.0,1011.0,100.0,2.0,3,6.0,2,19,1,2019,13
45.8,0.0,84.7,16.0,1012.0,100.0,1.0,1,6.0,1,16,10,2018,1
38.4,140.7,82.9,22.0,1017.0,88.0,1.0,3,6.0,5,16,9,2019,17
34.1,128.9,92.7,19.0,1015.0,72.0,3.0,3,1.0,4,5,10,2018,16
35.4,165.0,93.0,18.0,1020.0,51.0,2.0,3,1.0,4,16,2,2019,17
45.9,2.0,86.5,19.0,1018.0,93.0,1.0,3,4.0,1,31,7,2018,6
42.8,25.7,75.6,15.0,1025.0,63.0,2.0,3,1.0,3,13,11,2018,11
43.9,6.1,81.1,13.0,1021.0,93.0,0.0,1,4.0,1,3,11,2018,20
32.4,47.2,84.0,18.0,1014.0,93.0,2.0,3,4.0,4,14,4,2019,17
37.7,29.3,89.0,22.0,1017.0,78.0,2.0,3,6.0,3,17,8,2019,11
47.2,0.0,78.9,13.0,1016.0,93.0,0.0,1,5.0,1,6,10,2018,2
38.4,0.0,83.9,24.0,1018.0,31.0,3.0,3,1.0,1,19,8,2018,9
47.5,0.0,86.1,15.0,1018.0,93.0,2.0,1,4.0,1,29,7,2018,5
34.4,36.5,78.5,14.0,1017.0,71.0,6.0,3,3.0,3,17,5,2019,10
36.2,69.6,87.2,23.0,1018.0,78.0,3.0,3,4.0,4,28,8,2019,15
43.3,27.9,68.9,13.0,1009.0,76.0,5.0,3,1.0,4,21,11,2018,16
39.6,36.0,87.8,20.0,1015.0,64.0,3.0,3,1.0,3,19,10,2018,11
41.9,0.0,68.4,15.0,1013.0,100.0,0.0,1,5.0,1,24,6,2019,5
40.1,21.9,84.1,12.0,1019.0,81.0,5.0,1,5.0,3,18,2,2019,19
48.8,2.7,82.7,8.0,1026.0,93.0,3.0,1,3.0,1,7,2,2019,3
38.5,2.5,91.5,13.0,1020.0,100.0,2.0,1,3.0,1,23,9,2019,5
44.5,1.2,87.0,19.0,1019.0,38.0,4.0,1,1.0,1,26,9,2018,2
40.3,22.9,82.3,13.0,1010.0,93.0,10.0,3,3.0,3,6,11,2018,12
41.8,0.0,75.2,11.0,1023.0,87.0,2.0,1,3.0,1,28,1,2019,21
37.2,31.6,82.7,21.0,1023.0,77.0,1.0,3,4.0,3,27,9,2019,12
47.7,83.9,75.8,19.0,1015.0,60.0,3.0,3,6.0,5,2,9,2019,8
34.4,36.0,78.2,22.0,1018.0,77.0,3.0,3,6.0,3,27,6,2019,15
32.9,7.6,69.3,16.0,1014.0,93.0,7.0,3,6.0,2,7,5,2019,19
36.7,19.2,77.6,23.0,1017.0,73.0,6.0,3,4.0,3,29,6,2019,14
42.8,0.0,85.9,17.0,1018.0,93.0,1.0,1,4.0,1,30,9,2019,3
41.9,0.0,74.2,13.0,1019.0,93.0,1.0,1,1.0,1,29,4,2019,2
41.0,36.3,78.2,24.0,1020.0,57.0,2.0,3,1.0,3,20,8,2019,12
32.9,9.0,88.2,9.0,1024.0,76.0,1.0,1,1.0,1,16,2,2019,0
45.1,3.1,84.5,20.0,1016.0,68.0,5.0,1,1.0,1,13,10,2018,2
46.9,0.8,89.7,16.0,1018.0,100.0,0.0,1,6.0,1,23,8,2018,3
41.6,17.4,96.4,21.0,1018.0,83.0,0.0,3,6.0,2,17,8,2019,9
46.5,1.4,86.5,13.0,1021.0,71.0,3.0,1,1.0,1,7,10,2018,0
39.9,0.0,80.3,8.0,1011.0,93.0,1.0,1,5.0,1,25,11,2018,7
50.1,11.2,78.5,11.0,1029.0,100.0,1.0,1,6.0,3,28,2,2019,22
52.2,1.5,69.5,8.0,1021.0,100.0,2.0,1,2.0,2,29,1,2019,5
39.0,1.2,69.0,11.0,1012.0,76.0,0.0,2,2.0,1,4,5,2019,6
44.9,9.8,66.3,13.0,1030.0,93.0,0.0,1,2.0,3,6,12,2018,7
36.8,70.2,78.8,17.0,1020.0,77.0,2.0,3,2.0,4,12,4,2019,14
46.2,3.7,83.8,7.0,1014.0,100.0,3.0,2,3.0,3,12,11,2018,7
41.6,0.0,76.0,11.0,1022.0,81.0,3.0,1,3.0,1,26,4,2019,1
41.4,0.0,62.0,19.0,1016.0,93.0,2.0,1,6.0,1,26,6,2019,21
47.0,5.0,80.8,8.0,1028.0,81.0,1.0,1,1.0,2,24,2,2019,3
42.9,59.2,87.1,9.0,993.0,81.0,8.0,3,1.0,5,1,2,2019,10
38.5,29.2,87.0,18.0,1013.0,55.0,4.0,1,1.0,3,22,6,2019,21
39.7,103.6,80.6,22.0,1020.0,60.0,2.0,3,1.0,4,20,8,2019,11
41.2,1.6,86.1,12.0,1024.0,76.0,2.0,1,1.0,2,27,2,2019,2
44.3,12.4,95.3,14.0,1020.0,100.0,3.0,2,3.0,2,11,8,2019,6
32.4,21.2,101.5,14.0,1022.0,62.0,2.0,3,5.0,2,4,3,2019,13
40.1,0.0,90.7,16.0,1017.0,93.0,2.0,1,5.0,1,13,8,2018,3
35.0,70.6,82.6,18.0,1015.0,59.0,6.0,3,3.0,4,19,4,2019,13
38.6,2.4,71.7,15.0,1019.0,82.0,6.0,2,6.0,2,10,6,2019,20
33.1,27.5,92.7,10.0,1031.0,53.0,2.0,3,1.0,3,4,2,2019,12
41.9,5.0,86.6,16.0,1020.0,93.0,3.0,1,4.0,1,29,8,2018,2
36.4,65.3,78.7,29.0,1018.0,33.0,4.0,3,6.0,4,5,9,2019,15
43.8,72.7,71.5,16.0,1013.0,82.0,2.0,1,6.0,5,16,11,2018,18
40.3,4.8,60.4,15.0,1018.0,100.0,1.0,1,6.0,2,21,6,2019,1
34.6,23.3,76.9,17.0,1021.0,72.0,2.0,3,6.0,3,9,6,2019,11
40.6,19.0,89.2,19.0,1016.0,93.0,2.0,3,6.0,3,6,8,2018,10
47.8,8.2,70.2,18.0,1015.0,82.0,3.0,1,6.0,2,23,8,2019,2
44.3,159.3,77.5,20.0,1018.0,82.0,3.0,3,6.0,5,16,9,2019,9
43.8,8.3,75.3,10.0,1032.0,100.0,0.0,1,1.0,2,8,12,2018,0
37.1,39.1,90.1,27.0,1020.0,26.0,2.0,3,1.0,4,3,10,2018,15
36.1,37.0,83.8,24.0,1017.0,68.0,4.0,3,6.0,3,5,7,2019,15
38.2,256.9,89.1,22.0,1022.0,68.0,7.0,3,1.0,4,12,8,2019,15
40.2,2.3,82.3,21.0,1017.0,73.0,2.0,1,1.0,1,3,9,2019,1
52.7,2.3,68.0,5.0,1021.0,100.0,2.0,1,1.0,3,17,1,2019,7
34.3,17.5,90.9,10.0,1030.0,53.0,1.0,3,1.0,2,3,2,2019,13
